datetime_AEST,datetime_local,location_id,location_name,BSP,CO,DBT,NO2,O3,PM10,PM25,Sigma60,SO2,SWD,SWS,VWD,VWS
2023-12-31 23:00:00,2024-01-01 00:00:00,10001,Alphington,22.32,0.11,15.24,2.905,10.413,19.813,,22.893,0.37,190.008,1.526,193.998,1.44
2024-01-01 00:00:00,2024-01-01 01:00:00,10001,Alphington,,,14.874,,,22.546,9.756,25.694,,194.556,1.178,198.437,1.097
2024-01-01 01:00:00,2024-01-01 02:00:00,10001,Alphington,22.933,0.116,14.488,4.129,7.725,21.219,5.975,28.053,0.306,200.26,0.884,202.27,0.807
2024-01-01 02:00:00,2024-01-01 03:00:00,10001,Alphington,24.867,0.11,13.918,5.195,6.963,18.935,8.806,41.432,0.439,188.16,0.71,199.884,0.563
2024-01-01 03:00:00,2024-01-01 04:00:00,10001,Alphington,26.826,0.13,13.176,6.584,4.814,17.991,6.845,86.004,0.347,201.498,0.377,219.913,0.124
2024-01-01 04:00:00,2024-01-01 05:00:00,10001,Alphington,25.709,0.125,12.451,7.083,3.311,16.868,5.557,38.504,0.291,144.148,0.325,7.667,0.274
2024-01-01 05:00:00,2024-01-01 06:00:00,10001,Alphington,26.992,0.132,12.49,6.848,3.021,17.858,6.328,60.215,0.237,243.381,0.335,255.898,0.216
2024-01-01 06:00:00,2024-01-01 07:00:00,10001,Alphington,29.255,0.105,14.682,4.61,8.804,21.169,3.334,51.623,0.527,233.957,0.734,237.668,0.573
2024-01-01 07:00:00,2024-01-01 08:00:00,10001,Alphington,28.12,0.098,16.676,3.807,11.9,22.273,9.221,58.154,1.413,214.837,0.821,219.444,0.544
2024-01-01 08:00:00,2024-01-01 09:00:00,10001,Alphington,26.419,0.096,18.273,3.336,14.523,21.516,11.406,56.593,2.068,232.546,1.099,243.796,0.775
2024-01-01 09:00:00,2024-01-01 10:00:00,10001,Alphington,26.589,0.11,20.256,3.833,16.274,22.375,15.727,85.869,1.91,185.16,1.052,206.965,0.35
2024-01-01 10:00:00,2024-01-01 11:00:00,10001,Alphington,24.856,0.119,23.145,3.928,20.115,22.984,6.447,86.753,1.507,198.255,1.225,295.439,0.391
2024-01-01 11:00:00,2024-01-01 12:00:00,10001,Alphington,24.986,0.135,25.627,4.072,26.089,25.575,16.3,63.55,1.133,201.235,1.737,213.71,1.154
2024-01-01 12:00:00,2024-01-01 13:00:00,10001,Alphington,27.218,0.142,26.505,3.777,30.968,28.312,13.246,26.958,0.893,203.654,2.622,205.962,2.407
2024-01-01 13:00:00,2024-01-01 14:00:00,10001,Alphington,27.505,0.148,26.701,3.506,35.445,28.83,12.422,27.289,0.773,209.433,2.979,211.207,2.726
2024-01-01 14:00:00,2024-01-01 15:00:00,10001,Alphington,30.083,0.136,25.429,3.131,35.298,31.537,17.233,27.019,0.67,218.277,3.073,218.778,2.809
2024-01-01 15:00:00,2024-01-01 16:00:00,10001,Alphington,29.073,0.137,24.621,3.744,31.98,30.569,14.467,26.167,0.631,211.335,3.018,212.375,2.771
2024-01-01 16:00:00,2024-01-01 17:00:00,10001,Alphington,29.757,0.148,25.515,3.207,28.806,29.897,10.711,24.347,0.43,223.405,2.757,223.311,2.564
