datetime_local,datetime_AEST,location_id,location_name,BSP,CO,DBT,NO2,O3,PM10,PM25,Sigma60,SO2,SWD,SWS,VWD,VWS,risk_label,risk_label_future,BSP_lag1,BSP_lag2,BSP_lag3,BSP_lag6,CO_lag1,CO_lag2,CO_lag3,CO_lag6,DBT_lag1,DBT_lag2,DBT_lag3,DBT_lag6,NO2_lag1,NO2_lag2,NO2_lag3,NO2_lag6,O3_lag1,O3_lag2,O3_lag3,O3_lag6,PM10_lag1,PM10_lag2,PM10_lag3,PM10_lag6,PM25_lag1,PM25_lag2,PM25_lag3,PM25_lag6,Sigma60_lag1,Sigma60_lag2,Sigma60_lag3,Sigma60_lag6,SO2_lag1,SO2_lag2,SO2_lag3,SO2_lag6,SWD_lag1,SWD_lag2,SWD_lag3,SWD_lag6,SWS_lag1,SWS_lag2,SWS_lag3,SWS_lag6,VWD_lag1,VWD_lag2,VWD_lag3,VWD_lag6,VWS_lag1,VWS_lag2,VWS_lag3,VWS_lag6
2024-01-01 08:00:00,2024-01-01 07:00:00,10001,Alphington,28.12,0.098,16.676,3.807,11.9,22.273,9.221,58.154,1.413,214.837,0.821,219.444,0.544,1,1,29.255,26.992,25.709,22.933,0.105,0.132,0.125,0.116,14.682,12.49,12.451,14.488,4.61,6.848,7.083,4.129,8.804,3.021,3.311,7.725,21.169,17.858,16.868,21.219,3.334,6.328,5.557,5.975,51.623,60.215,38.504,28.053,0.527,0.237,0.291,0.306,233.957,243.381,144.148,200.26,0.734,0.335,0.325,0.884,237.668,255.898,7.667,202.27,0.573,0.216,0.274,0.807
2024-01-01 09:00:00,2024-01-01 08:00:00,10001,Alphington,26.419,0.096,18.273,3.336,14.523,21.516,11.406,56.593,2.068,232.546,1.099,243.796,0.775,1,1,28.12,29.255,26.992,24.867,0.098,0.105,0.132,0.11,16.676,14.682,12.49,13.918,3.807,4.61,6.848,5.195,11.9,8.804,3.021,6.963,22.273,21.169,17.858,18.935,9.221,3.334,6.328,8.806,58.154,51.623,60.215,41.432,1.413,0.527,0.237,0.439,214.837,233.957,243.381,188.16,0.821,0.734,0.335,0.71,219.444,237.668,255.898,199.884,0.544,0.573,0.216,0.563
2024-01-01 10:00:00,2024-01-01 09:00:00,10001,Alphington,26.589,0.11,20.256,3.833,16.274,22.375,15.727,85.869,1.91,185.16,1.052,206.965,0.35,1,1,26.419,28.12,29.255,26.826,0.096,0.098,0.105,0.13,18.273,16.676,14.682,13.176,3.336,3.807,4.61,6.584,14.523,11.9,8.804,4.814,21.516,22.273,21.169,17.991,11.406,9.221,3.334,6.845,56.593,58.154,51.623,86.004,2.068,1.413,0.527,0.347,232.546,214.837,233.957,201.498,1.099,0.821,0.734,0.377,243.796,219.444,237.668,219.913,0.775,0.544,0.573,0.124
2024-01-01 11:00:00,2024-01-01 10:00:00,10001,Alphington,24.856,0.119,23.145,3.928,20.115,22.984,6.447,86.753,1.507,198.255,1.225,295.439,0.391,1,0,26.589,26.419,28.12,25.709,0.11,0.096,0.098,0.125,20.256,18.273,16.676,12.451,3.833,3.336,3.807,7.083,16.274,14.523,11.9,3.311,22.375,21.516,22.273,16.868,15.727,11.406,9.221,5.557,85.869,56.593,58.154,38.504,1.91,2.068,1.413,0.291,185.16,232.546,214.837,144.148,1.052,1.099,0.821,0.325,206.965,243.796,219.444,7.667,0.35,0.775,0.544,0.274
2024-01-01 12:00:00,2024-01-01 11:00:00,10001,Alphington,24.986,0.135,25.627,4.072,26.089,25.575,16.3,63.55,1.133,201.235,1.737,213.71,1.154,1,0,24.856,26.589,26.419,26.992,0.119,0.11,0.096,0.132,23.145,20.256,18.273,12.49,3.928,3.833,3.336,6.848,20.115,16.274,14.523,3.021,22.984,22.375,21.516,17.858,6.447,15.727,11.406,6.328,86.753,85.869,56.593,60.215,1.507,1.91,2.068,0.237,198.255,185.16,232.546,243.381,1.225,1.052,1.099,0.335,295.439,206.965,243.796,255.898,0.391,0.35,0.775,0.216
2024-01-01 13:00:00,2024-01-01 12:00:00,10001,Alphington,27.218,0.142,26.505,3.777,30.968,28.312,13.246,26.958,0.893,203.654,2.622,205.962,2.407,1,0,24.986,24.856,26.589,29.255,0.135,0.119,0.11,0.105,25.627,23.145,20.256,14.682,4.072,3.928,3.833,4.61,26.089,20.115,16.274,8.804,25.575,22.984,22.375,21.169,16.3,6.447,15.727,3.334,63.55,86.753,85.869,51.623,1.133,1.507,1.91,0.527,201.235,198.255,185.16,233.957,1.737,1.225,1.052,0.734,213.71,295.439,206.965,237.668,1.154,0.391,0.35,0.573
2024-01-01 14:00:00,2024-01-01 13:00:00,10001,Alphington,27.505,0.148,26.701,3.506,35.445,28.83,12.422,27.289,0.773,209.433,2.979,211.207,2.726,1,0,27.218,24.986,24.856,28.12,0.142,0.135,0.119,0.098,26.505,25.627,23.145,16.676,3.777,4.072,3.928,3.807,30.968,26.089,20.115,11.9,28.312,25.575,22.984,22.273,13.246,16.3,6.447,9.221,26.958,63.55,86.753,58.154,0.893,1.133,1.507,1.413,203.654,201.235,198.255,214.837,2.622,1.737,1.225,0.821,205.962,213.71,295.439,219.444,2.407,1.154,0.391,0.544
2024-01-01 15:00:00,2024-01-01 14:00:00,10001,Alphington,30.083,0.136,25.429,3.131,35.298,31.537,17.233,27.019,0.67,218.277,3.073,218.778,2.809,1,0,27.505,27.218,24.986,26.419,0.148,0.142,0.135,0.096,26.701,26.505,25.627,18.273,3.506,3.777,4.072,3.336,35.445,30.968,26.089,14.523,28.83,28.312,25.575,21.516,12.422,13.246,16.3,11.406,27.289,26.958,63.55,56.593,0.773,0.893,1.133,2.068,209.433,203.654,201.235,232.546,2.979,2.622,1.737,1.099,211.207,205.962,213.71,243.796,2.726,2.407,1.154,0.775
2024-01-01 16:00:00,2024-01-01 15:00:00,10001,Alphington,29.073,0.137,24.621,3.744,31.98,30.569,14.467,26.167,0.631,211.335,3.018,212.375,2.771,1,0,30.083,27.505,27.218,26.589,0.136,0.148,0.142,0.11,25.429,26.701,26.505,20.256,3.131,3.506,3.777,3.833,35.298,35.445,30.968,16.274,31.537,28.83,28.312,22.375,17.233,12.422,13.246,15.727,27.019,27.289,26.958,85.869,0.67,0.773,0.893,1.91,218.277,209.433,203.654,185.16,3.073,2.979,2.622,1.052,218.778,211.207,205.962,206.965,2.809,2.726,2.407,0.35
2024-01-01 17:00:00,2024-01-01 16:00:00,10001,Alphington,29.757,0.148,25.515,3.207,28.806,29.897,10.711,24.347,0.43,223.405,2.757,223.311,2.564,0,0,29.073,30.083,27.505,24.856,0.137,0.136,0.148,0.119,24.621,25.429,26.701,23.145,3.744,3.131,3.506,3.928,31.98,35.298,35.445,20.115,30.569,31.537,28.83,22.984,14.467,17.233,12.422,6.447,26.167,27.019,27.289,86.753,0.631,0.67,0.773,1.507,211.335,218.277,209.433,198.255,3.018,3.073,2.979,1.225,212.375,218.778,211.207,295.439,2.771,2.809,2.726,0.391
2024-01-01 18:00:00,2024-01-01 17:00:00,10001,Alphington,27.526,0.143,24.13,2.609,29.095,30.233,12.563,22.762,0.481,221.569,3.558,220.953,3.333,0,0,29.757,29.073,30.083,24.986,0.148,0.137,0.136,0.135,25.515,24.621,25.429,25.627,3.207,3.744,3.131,4.072,28.806,31.98,35.298,26.089,29.897,30.569,31.537,25.575,10.711,14.467,17.233,16.3,24.347,26.167,27.019,63.55,0.43,0.631,0.67,1.133,223.405,211.335,218.277,201.235,2.757,3.018,3.073,1.737,223.311,212.375,218.778,213.71,2.564,2.771,2.809,1.154
2024-01-01 19:00:00,2024-01-01 18:00:00,10001,Alphington,27.972,0.128,21.686,2.634,24.203,29.115,11.147,22.051,0.515,223.254,3.051,222.716,2.879,0,0,27.526,29.757,29.073,27.218,0.143,0.148,0.137,0.142,24.13,25.515,24.621,26.505,2.609,3.207,3.744,3.777,29.095,28.806,31.98,30.968,30.233,29.897,30.569,28.312,12.563,10.711,14.467,13.246,22.762,24.347,26.167,26.958,0.481,0.43,0.631,0.893,221.569,223.405,211.335,203.654,3.558,2.757,3.018,2.622,220.953,223.311,212.375,205.962,3.333,2.564,2.771,2.407
2024-01-01 20:00:00,2024-01-01 19:00:00,10001,Alphington,26.806,0.126,20.325,2.671,20.004,25.096,3.96,24.253,0.447,224.577,2.261,223.56,2.104,0,0,27.972,27.526,29.757,27.505,0.128,0.143,0.148,0.148,21.686,24.13,25.515,26.701,2.634,2.609,3.207,3.506,24.203,29.095,28.806,35.445,29.115,30.233,29.897,28.83,11.147,12.563,10.711,12.422,22.051,22.762,24.347,27.289,0.515,0.481,0.43,0.773,223.254,221.569,223.405,209.433,3.051,3.558,2.757,2.979,222.716,220.953,223.311,211.207,2.879,3.333,2.564,2.726
2024-01-01 21:00:00,2024-01-01 20:00:00,10001,Alphington,25.847,0.127,19.469,2.446,18.614,21.887,0.728,22.576,0.27,216.986,2.066,217.442,1.936,0,0,26.806,27.972,27.526,30.083,0.126,0.128,0.143,0.136,20.325,21.686,24.13,25.429,2.671,2.634,2.609,3.131,20.004,24.203,29.095,35.298,25.096,29.115,30.233,31.537,3.96,11.147,12.563,17.233,24.253,22.051,22.762,27.019,0.447,0.515,0.481,0.67,224.577,223.254,221.569,218.277,2.261,3.051,3.558,3.073,223.56,222.716,220.953,218.778,2.104,2.879,3.333,2.809
2024-01-01 22:00:00,2024-01-01 21:00:00,10001,Alphington,24.488,0.12,18.889,2.131,17.611,20.695,4.786,22.501,0.31,229.676,1.642,229.232,1.537,0,0,25.847,26.806,27.972,29.073,0.127,0.126,0.128,0.137,19.469,20.325,21.686,24.621,2.446,2.671,2.634,3.744,18.614,20.004,24.203,31.98,21.887,25.096,29.115,30.569,0.728,3.96,11.147,14.467,22.576,24.253,22.051,26.167,0.27,0.447,0.515,0.631,216.986,224.577,223.254,211.335,2.066,2.261,3.051,3.018,217.442,223.56,222.716,212.375,1.936,2.104,2.879,2.771
2024-01-01 23:00:00,2024-01-01 22:00:00,10001,Alphington,23.005,0.114,18.59,2.137,18.305,18.528,2.727,23.931,0.312,226.563,1.522,226.172,1.415,0,1,24.488,25.847,26.806,29.757,0.12,0.127,0.126,0.148,18.889,19.469,20.325,25.515,2.131,2.446,2.671,3.207,17.611,18.614,20.004,28.806,20.695,21.887,25.096,29.897,4.786,0.728,3.96,10.711,22.501,22.576,24.253,24.347,0.31,0.27,0.447,0.43,229.676,216.986,224.577,223.405,1.642,2.066,2.261,2.757,229.232,217.442,223.56,223.311,1.537,1.936,2.104,2.564
2024-01-02 00:00:00,2024-01-01 23:00:00,10001,Alphington,22.888,0.085,18.67,2.121,16.705,18.28,6.291,22.795,0.046,239.339,1.258,238.146,1.186,0,1,23.005,24.488,25.847,27.526,0.114,0.12,0.127,0.143,18.59,18.889,19.469,24.13,2.137,2.131,2.446,2.609,18.305,17.611,18.614,29.095,18.528,20.695,21.887,30.233,2.727,4.786,0.728,12.563,23.931,22.501,22.576,22.762,0.312,0.31,0.27,0.481,226.563,229.676,216.986,221.569,1.522,1.642,2.066,3.558,226.172,229.232,217.442,220.953,1.415,1.537,1.936,3.333
2024-01-02 01:00:00,2024-01-02 00:00:00,10001,Alphington,,,18.9,,,18.331,5.887,27.899,,231.966,1.073,231.558,0.986,0,1,22.888,23.005,24.488,27.972,0.085,0.114,0.12,0.128,18.67,18.59,18.889,21.686,2.121,2.137,2.131,2.634,16.705,18.305,17.611,24.203,18.28,18.528,20.695,29.115,6.291,2.727,4.786,11.147,22.795,23.931,22.501,22.051,0.046,0.312,0.31,0.515,239.339,226.563,229.676,223.254,1.258,1.522,1.642,3.051,238.146,226.172,229.232,222.716,1.186,1.415,1.537,2.879
2024-01-02 05:00:00,2024-01-02 04:00:00,10001,Alphington,36.443,0.09,18.707,4.45,10.013,38.061,9.764,41.531,-0.089,208.033,0.491,345.845,0.392,1,0,29.82,31.108,27.907,23.005,0.086,0.087,0.083,0.114,18.771,18.988,18.977,18.59,3.886,4.599,2.614,2.137,11.395,12.69,14.455,18.305,24.809,25.117,22.757,18.528,11.202,7.207,12.316,2.727,35.04,25.965,33.261,23.931,-0.13,-0.026,-0.301,0.312,276.225,279.037,244.018,226.563,0.952,1.203,1.029,1.522,304.092,280.342,247.109,226.172,0.827,1.099,0.898,1.415
