# Sensor Boronia_VIC_Australia (AirNet - aiqcn.org - waqi.info/100162)
# https://aqicn.org/station/@416350/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-09-23T00:00:00.000Z,4,13,8,6,10.5,2.511,24
2023-09-24T00:00:00.000Z,0,4,0,0,1,0.83,31
2023-09-25T00:00:00.000Z,0,0,0,0,0,0,3
2023-10-16T00:00:00.000Z,0,0,0,0,0,0,1
2023-11-24T00:00:00.000Z,0,19,2,1,5,3.918,1115
2023-11-25T00:00:00.000Z,0,7,1,0,2,1.273,1422
2023-11-26T00:00:00.000Z,0,32,0,0,1,3.185,1423
2023-11-27T00:00:00.000Z,0,8,0,0,0,1.413,1436
2023-11-28T00:00:00.000Z,0,4,0,0,1,0.809,1438
2023-11-29T00:00:00.000Z,0,43,0,0,1,6.625,1440
2023-11-30T00:00:00.000Z,0,33,0,0,1,2.267,1435
2023-12-01T00:00:00.000Z,0,5,0,0,1,0.69,1436
2023-12-02T00:00:00.000Z,0,35,0,0,1,5.137,1437
2023-12-03T00:00:00.000Z,0,31,0,0,1,4.017,1440
2023-12-04T00:00:00.000Z,0,2,0,0,0,0.441,1440
2023-12-05T00:00:00.000Z,0,5,0,0,0,0.581,1440
2023-12-06T00:00:00.000Z,0,2,0,0,0,0.227,1440
2023-12-07T00:00:00.000Z,0,2,0,0,0,0.357,1439
2023-12-08T00:00:00.000Z,0,5,1,0,2,0.991,1435
2023-12-09T00:00:00.000Z,0,36,0,0,1,3.531,1436
2023-12-10T00:00:00.000Z,0,9,1,0,2,1.351,1430
2023-12-11T00:00:00.000Z,0,10,3,2,4,1.687,1433
2023-12-12T00:00:00.000Z,0,14,2,1,4,2.439,1439
2023-12-13T00:00:00.000Z,0,13,1,0,5,2.915,1430
2023-12-14T00:00:00.000Z,0,42,0,0,0,2.623,1439
2023-12-15T00:00:00.000Z,0,24,0,0,0,2.235,1439
2023-12-16T00:00:00.000Z,0,51,0,0,0,8.042,1439
2023-12-17T00:00:00.000Z,0,4,0,0,1,0.752,1439
2023-12-18T00:00:00.000Z,0,12,0,0,0,0.752,1434
2023-12-19T00:00:00.000Z,0,8,0,0,0,0.447,1436
2023-12-20T00:00:00.000Z,0,4,0,0,0,0.572,1440
2023-12-21T00:00:00.000Z,0,1,0,0,0,0.143,1440
2023-12-22T00:00:00.000Z,0,14,0,0,0,0.891,1439
2023-12-23T00:00:00.000Z,0,10,0,0,0,0.895,1439
2023-12-24T00:00:00.000Z,0,2,0,0,0,0.451,1437
2023-12-25T00:00:00.000Z,0,3,0,0,0,0.481,1429
2023-12-26T00:00:00.000Z,0,24,1,0,2,1.451,1440
2023-12-27T00:00:00.000Z,0,7,0,0,0,1.171,1440
2023-12-28T00:00:00.000Z,0,38,0,0,0,5.124,1440
2023-12-29T00:00:00.000Z,0,3,0,0,0,0.168,1440
2023-12-30T00:00:00.000Z,0,5,0,0,0,0.439,1440
2023-12-31T00:00:00.000Z,0,19,0,0,1,1.93,1440
2024-01-01T00:00:00.000Z,0,4,0,0,1,0.71,1440
2024-01-02T00:00:00.000Z,0,8,1,0,1,1.306,1440
2024-01-03T00:00:00.000Z,0,4,1,0,1,0.864,1440
2024-01-04T00:00:00.000Z,0,7,0,0,1,1.018,1035
2024-01-05T00:00:00.000Z,0,3,0,0,1,0.58,1295
2024-01-06T00:00:00.000Z,0,5,0,0,1,1.122,1440
2024-01-07T00:00:00.000Z,0,6,0,0,1,0.951,1438
2024-01-08T00:00:00.000Z,0,2,0,0,0,0.337,1437
2024-01-09T00:00:00.000Z,0,9,1,0,2,1.133,1439
2024-01-10T00:00:00.000Z,0,5,0,0,1,0.829,1440
2024-01-11T00:00:00.000Z,0,8,0,0,2,1.566,1439
2024-01-12T00:00:00.000Z,0,10,2,1,4,1.79,1438
2024-01-13T00:00:00.000Z,0,23,0,0,0,2.458,1439
2024-01-14T00:00:00.000Z,0,3,0,0,0,0.412,1438
2024-01-29T00:00:00.000Z,0,6,0,0,0,0.943,1439
2024-01-30T00:00:00.000Z,0,57,0,0,1,6.81,1440
2024-01-31T00:00:00.000Z,0,1,0,0,0,0.123,1440
2024-02-01T00:00:00.000Z,0,1,0,0,0,0.129,1420
2024-02-02T00:00:00.000Z,0,2,0,0,0,0.227,1440
2024-02-03T00:00:00.000Z,0,2,0,0,0,0.138,1440
2024-02-04T00:00:00.000Z,0,2,0,0,0,0.3,1174
2024-02-05T00:00:00.000Z,0,24,0,0,0,2.07,1419
2024-02-06T00:00:00.000Z,0,32,0,0,0,2.158,1435
2024-02-07T00:00:00.000Z,0,46,0,0,0,3.466,1424
2024-02-08T00:00:00.000Z,0,3,0,0,0,0.45,1426
2024-02-09T00:00:00.000Z,0,2,0,0,0,0.242,1430
2024-02-10T00:00:00.000Z,0,4,0,0,1,0.606,1413
2024-02-11T00:00:00.000Z,0,3,0,0,1,0.65,1430
2024-02-12T00:00:00.000Z,0,4,1,0,1,0.851,1417
2024-02-13T00:00:00.000Z,0,27,0,0,0,2.213,1420
2024-02-14T00:00:00.000Z,0,1,0,0,0,0.141,1426
2024-02-15T00:00:00.000Z,0,15,0,0,0,0.756,1397
2024-02-16T00:00:00.000Z,0,25,1,0,1,2.31,1419
2024-02-17T00:00:00.000Z,0,11,0,0,2,1.781,1426
2024-02-18T00:00:00.000Z,0,0,0,0,0,0,1425
2024-02-19T00:00:00.000Z,0,5,0,0,1,0.884,1413
2024-02-20T00:00:00.000Z,0,5,0,0,1,0.584,1410
