date, pm25, pm10, o3, no2, so2, co
2025/8/1, 27, 13, 13, 13, , 3
2025/8/2, 32, 20, 16, 12, , 4
2025/8/3, 51, 11, 22, 8, , 1
2025/8/4, 18, 12, 22, 6, , 
2025/8/5, 8, 14, 18, 10, , 1
2025/8/6, 14, 15, 20, 15, , 2
2025/8/7, 19, 16, 16, 15, , 3
2025/8/8, 31, 20, 13, 13, , 4
2025/8/9, 42, 21, 19, 11, , 4
2025/8/10, 49, 18, 19, 12, , 3
2025/8/11, 41, 11, 15, 8, , 1
2025/8/12, 16, 15, 20, 13, , 2
2025/8/13, 16, 15, 19, 9, , 2
2025/8/14, 26, 12, 19, 8, , 1
2025/8/15, 10, 10, 23, 10, , 1
2025/8/16, 20, 10, 19, 8, , 1
2025/8/17, 21, 12, 24, 10, , 1
2025/8/18, 14, 15, 24, 12, , 3
2025/8/19, 36, , , , , 
2025/7/1, 29, 9, 18, 9, , 1
2025/7/2, 12, 16, 14, 14, , 3
2025/7/3, 18, 15, 14, 9, , 3
2025/7/4, 27, 10, 18, 7, , 2
2025/7/5, 12, 17, 10, 14, , 4
2025/7/6, 29, 18, 14, 10, , 4
2025/7/7, 47, 8, 19, 4, , 1
2025/7/8, 10, 10, 26, 3, , 2
2025/7/9, 11, 9, 21, 9, , 
2025/7/10, 11, 15, 20, 10, , 1
2025/7/11, 17, 17, 20, 9, , 2
2025/7/12, 30, 9, 23, 2, , 
2025/7/13, 9, 12, 21, 9, , 1
2025/7/14, 14, 9, 16, 12, , 1
2025/7/15, 11, 11, 16, 9, , 1
2025/7/16, 10, 11, 16, 11, , 1
2025/7/17, 15, 16, 17, 12, , 3
2025/7/18, 26, 14, 20, 7, , 1
2025/7/19, 14, 17, 18, 12, , 3
2025/7/20, 29, 16, 24, 8, , 2
2025/7/21, 20, 8, 23, 3, 1, 1
2025/7/22, 6, 12, 22, 11, , 1
2025/7/23, 15, 13, 17, 11, , 2
2025/7/24, 14, 7, 28, 8, , 1
2025/7/25, 10, 4, 22, 2, , 1
2025/7/26, 7, 6, 16, 6, , 1
2025/7/27, 11, 9, 21, 7, , 
2025/7/28, 11, 15, 16, 15, , 2
2025/7/29, 13, 16, 18, 13, , 3
2025/7/30, 24, 13, 17, 15, , 2
2025/7/31, 14, 16, 11, 16, , 3
2025/4/1, 18, 25, 24, 10, , 2
2025/4/2, 48, 23, 19, 12, , 2
2025/4/3, 43, 15, 18, 9, , 1
2025/4/4, 21, 18, 19, 6, , 1
2025/4/5, 19, 16, 17, 6, , 1
2025/4/6, 17, 15, 17, 4, , 
2025/4/7, 19, 12, 16, 11, , 1
2025/4/8, 13, 19, 16, 14, , 2
2025/4/9, 24, 27, 26, 10, , 1
2025/4/10, 27, 27, 16, 8, , 1
2025/4/11, 25, 26, 28, 15, , 2
2025/4/12, 29, 27, 31, 5, , 1
2025/4/13, 38, 17, 20, 5, , 
2025/4/14, 25, 18, 24, 8, , 1
2025/4/15, 26, 29, 23, 9, , 1
2025/4/16, 32, 33, 30, 13, , 2
2025/4/17, 31, 31, 34, 5, , 1
2025/4/18, 35, 25, 28, 6, , 1
2025/4/19, 29, 20, 20, 5, , 1
2025/4/20, 22, 21, 19, 3, , 
2025/4/21, 15, 11, 19, 3, , 
2025/4/22, 16, 13, 16, 10, , 2
2025/4/23, 17, 24, 26, 8, , 1
2025/4/24, 20, 20, 19, 6, , 1
2025/4/25, 33, 8, 15, 5, , 1
2025/4/26, 14, 7, 17, 4, , 1
2025/4/27, 13, 10, 15, 9, , 2
2025/4/28, 13, 9, 13, 6, , 1
2025/4/29, 16, 10, 13, 7, , 
2025/4/30, 13, 11, 17, 9, , 1
2025/5/1, 16, 17, 16, 14, , 3
2025/5/2, 25, 23, 26, 11, , 3
2025/5/3, 42, 22, 24, 9, , 2
2025/5/4, 29, 20, 20, 5, , 1
2025/5/5, 15, 18, 19, 4, , 1
2025/5/6, 13, 19, 20, 6, , 
2025/5/7, 22, 20, 19, 10, , 1
2025/5/8, 30, 20, 14, 14, , 2
2025/5/9, 23, , , , , 
2025/5/11, 47, 25, 18, 15, , 4
2025/5/12, 36, 31, 6, 19, , 6
2025/5/13, 42, 44, 8, 12, , 5
2025/5/14, 113, , , , , 
2025/5/23, 54, 10, 21, 5, , 1
2025/5/24, 13, 13, 19, 3, , 1
2025/5/25, 7, 31, 24, 3, , 
2025/5/26, 19, 16, 21, 7, , 
2025/5/27, 14, 13, 18, 7, , 1
2025/5/28, 12, 13, 15, 9, , 1
2025/5/29, 8, , , , , 
2025/5/31, 24, 19, 21, 11, , 4
2025/6/1, 41, 26, 18, 14, , 3
2025/6/2, 30, 14, 19, 8, , 1
2025/6/3, 25, 13, 20, 12, , 2
2025/6/4, 17, 18, 17, 11, , 4
2025/6/5, 30, 15, 18, 4, , 1
2025/6/6, 9, 7, 18, 4, , 1
2025/6/7, 10, 8, 18, 4, , 2
2025/6/8, 21, 10, 19, , , 1
2025/6/9, 28, 13, 15, , , 3
2025/6/10, 20, 15, 9, , , 11
2025/6/11, 20, 18, 9, , , 5
2025/6/12, 18, 22, 8, 15, , 6
2025/6/13, 42, 15, 16, 9, , 3
2025/6/14, 33, 7, 15, 4, , 1
2025/6/15, 10, 9, 20, 3, , 1
2025/6/16, 9, 10, 20, 7, , 
2025/6/17, 15, 14, 16, 14, , 2
2025/6/18, 16, 13, 15, 11, , 1
2025/6/19, 18, 17, 13, 11, , 2
2025/6/20, 31, 14, 14, 8, , 3
2025/6/21, 33, 17, 20, 8, , 4
2025/6/22, 31, 9, 23, 3, , 1
2025/6/23, 8, 26, 21, 3, , 1
2025/6/24, 15, 10, 20, 7, , 
2025/6/25, 11, 16, 13, 15, , 2
2025/6/26, 25, 16, 9, 15, , 4
2025/6/27, 29, 16, 12, 11, , 3
2025/6/28, 34, 12, 13, 9, , 3
2025/6/29, 28, 13, 18, 14, , 3
2025/6/30, 25, 12, 17, 11, , 2
2025/1/1, 25, 19, 14, 1, , 
2025/1/2, 29, 24, 31, 5, , 1
2025/1/3, 29, 19, 27, 5, , 
2025/1/4, 29, 20, 30, 4, , 
2025/1/5, 22, 16, 15, 3, , 
2025/1/6, 26, 14, 15, 3, , 
2025/1/7, 19, 13, 31, 4, , 
2025/1/8, 24, 18, 37, 4, , 1
2025/1/9, 27, 25, 29, 11, , 1
2025/1/10, 32, 15, 38, 5, , 1
2025/1/11, 23, 11, 24, 5, , 1
2025/1/12, 25, 11, 27, 3, , 1
2025/1/13, 30, 13, 21, 4, , 1
2025/1/14, 24, 17, 17, 8, , 1
2025/1/15, 38, 19, 11, 6, , 
2025/1/16, 24, 19, 16, 4, , 1
2025/1/17, 28, 19, 30, 1, , 
2025/1/18, 29, 17, 34, 4, , 1
2025/1/19, 22, 22, 48, 8, 5, 1
2025/1/20, 35, 34, 31, 8, 1, 1
2025/1/21, 52, 16, 12, 1, , 
2025/1/22, 28, 23, 12, 4, , 1
2025/1/23, 30, 12, 14, 3, , 
2025/1/24, 15, 17, 19, 4, , 
2025/1/25, 25, 16, 15, 2, , 
2025/1/26, 21, 24, 29, 4, , 1
2025/1/27, 26, 18, 14, 1, , 
2025/1/28, 28, 21, 15, 2, , 
2025/1/29, 26, 15, 15, 2, , 
2025/1/30, 19, 13, 15, 3, , 1
2025/1/31, 18, 24, 36, 6, , 1
2025/2/1, 27, 28, 34, 5, , 1
2025/2/2, 38, 26, 38, 8, , 1
2025/2/3, 42, 26, 35, 9, , 1
2025/2/4, 41, 28, 25, 2, , 1
2025/2/5, 45, 24, 54, 8, , 1
2025/2/6, 37, 21, 22, 6, , 1
2025/2/7, 44, 26, 18, 2, , 1
2025/2/8, 46, 8, 17, 1, , 
2025/2/9, 13, 10, 17, 1, 1, 
2025/2/10, 19, 10, 27, 4, , 1
2025/2/11, 19, 18, 54, 6, , 1
2025/2/12, 23, 29, 35, 6, , 1
2025/2/13, 21, 18, 15, 4, , 
2025/2/14, 28, 12, 13, 2, , 
2025/2/15, 19, 11, 12, 3, , 
2025/2/16, 17, 15, 17, 5, , 1
2025/2/17, 15, 15, 14, 4, , 
2025/2/18, 17, 11, 13, 3, , 
2025/2/19, 13, 18, 15, 3, , 
2025/2/20, 22, 21, 32, 7, , 1
2025/2/21, 22, 31, 32, 5, , 1
2025/2/22, 26, 26, 25, 2, 1, 
2025/2/23, 26, 14, 13, 4, 1, 
2025/2/24, 24, 22, 18, 5, , 
2025/2/25, 26, 26, 32, 6, , 
2025/2/26, 28, 19, 18, 4, , 
2025/2/27, 30, 16, 17, 5, , 
2025/2/28, 15, 21, 20, 5, , 
2025/3/1, 29, 14, 13, 6, , 
2025/3/2, 23, 20, 15, 6, , 
2025/3/3, 29, 28, 31, 6, , 1
2025/3/4, 32, 37, 28, 8, , 1
2025/3/5, 37, 27, 15, 4, , 1
2025/3/6, 48, 28, 23, 7, , 1
2025/3/7, 32, 16, 27, 6, , 
2025/3/8, 15, 20, 22, 7, , 1
2025/3/9, 23, 13, 29, 3, , 1
2025/3/10, 17, 23, 31, 10, , 1
2025/3/11, 29, 25, 27, 6, , 1
2025/3/12, 35, 14, 20, 5, , 1
2025/3/13, 24, 15, 23, 10, , 1
2025/3/14, 24, 21, 36, 10, , 1
2025/3/15, 27, 13, 19, 4, , 1
2025/3/16, 22, 15, 15, 6, , 
2025/3/17, 17, 14, 23, 6, , 
2025/3/18, 15, 24, 34, 12, , 1
2025/3/19, 22, 26, 21, 10, , 1
2025/3/20, 18, 13, 15, 6, , 
2025/3/21, 18, 14, 20, 6, , 1
2025/3/22, 23, 13, 20, 5, 1, 1
2025/3/23, 20, 12, 16, 5, , 
2025/3/24, 15, 15, 16, 7, , 1
2025/3/25, 23, 13, 16, 4, , 
2025/3/26, 19, 15, 15, 6, , 
2025/3/27, 19, 21, 23, 10, , 1
2025/3/28, 32, 20, 20, 6, , 1
2025/3/29, 40, 14, 17, 1, 1, 
2025/3/30, 24, 14, 18, 2, , 
2025/3/31, 15, 10, 16, 3, , 
2024/10/1, 28, 15, 22, 10, , 2
2024/10/2, 33, , 30, 8, , 1
2024/10/3, 34, 23, 27, 4, , 1
2024/10/4, 24, 10, 19, 6, , 1
2024/10/5, 20, 13, 22, 2, , 1
2024/10/6, 22, 15, 22, 3, , 1
2024/10/7, 24, 14, 23, 6, , 1
2024/10/8, 19, 14, 23, 10, , 1
2024/10/9, 20, 21, 24, 6, , 1
2024/10/10, 21, 22, 22, 8, 1, 1
2024/10/11, 27, 25, 26, 4, , 1
2024/10/12, 37, 19, 26, 7, , 1
2024/10/13, 28, 17, 25, 6, , 1
2024/10/14, 24, 17, 23, 7, , 1
2024/10/15, 19, 15, 28, 6, , 1
2024/10/16, 19, 14, 26, 6, , 1
2024/10/17, 18, 7, 28, 5, , 2
2024/10/18, 18, 13, 25, 1, , 
2024/10/19, 15, 13, 20, 2, 1, 1
2024/10/20, 18, 17, 26, 7, , 2
2024/10/21, 24, 24, 29, 5, , 1
