date, pm25, pm10, o3, no2, so2, co
2025/8/1, 35, 9, , , , 1
2025/8/2, 21, 8, , , , 1
2025/8/3, 13, 12, , , , 1
2025/8/4, 25, 9, , , , 
2025/8/5, 8, 21, , , , 1
2025/8/6, 25, 18, , , , 1
2025/8/7, 31, 11, , , 1, 1
2025/8/8, 22, 7, , , 1, 1
2025/8/9, 8, 7, , , , 1
2025/8/10, 9, 6, , , , 1
2025/8/11, 5, 10, , , , 1
2025/8/12, 15, 14, , , , 1
2025/8/13, 23, 18, , , , 2
2025/8/14, 28, 13, , , , 1
2025/8/15, 28, 13, , , , 1
2025/8/16, 23, 10, , , , 1
2025/8/17, 21, 9, , , , 
2025/8/18, 22, 18, , , , 1
2025/8/19, 41, , , , , 
2025/7/1, 21, 10, 19, 5, , 1
2025/7/2, 22, 18, 14, 7, , 1
2025/7/3, 31, 19, 8, 6, 3, 1
2025/7/4, 41, 19, 13, 4, , 1
2025/7/5, 44, 21, 13, 5, 1, 2
2025/7/6, 50, 24, 12, 7, , 2
2025/7/7, 60, 20, 24, 4, , 2
2025/7/8, 44, 9, 22, 3, , 
2025/7/9, 8, 10, 18, 4, , 
2025/7/10, 13, 25, 18, 3, 1, 1
2025/7/11, 18, 37, 19, 4, , 1
2025/7/12, 33, 14, 20, 4, , 1
2025/7/13, 23, 19, 19, 4, , 
2025/7/14, 17, 8, 18, 4, , 
2025/7/15, 17, 10, 18, 2, , 1
2025/7/16, 19, 10, 19, , , 1
2025/7/17, 17, 25, , , , 1
2025/7/18, 39, 18, , , , 1
2025/7/19, 32, 20, , , 2, 1
2025/7/20, 18, 19, , , , 1
2025/7/21, 31, 8, , , , 1
2025/7/22, 17, 12, , , , 
2025/7/23, 10, 13, , , , 
2025/7/24, 24, 17, , , , 2
2025/7/25, 35, 6, , , , 1
2025/7/26, 12, 10, , , , 1
2025/7/27, 25, 9, , , , 1
2025/7/28, 15, 19, , , , 1
2025/7/29, 28, 18, , , , 2
2025/7/30, 40, 17, , , , 1
2025/7/31, 37, 16, , , , 1
2025/4/1, 5, 19, 17, 3, , 
2025/4/2, 11, 11, 20, 4, , 
2025/4/3, 8, 8, 20, 4, , 
2025/4/4, 4, 10, 20, 2, , 
2025/4/5, 7, 8, 20, 3, , 1
2025/4/6, 6, 9, 18, 1, , 
2025/4/7, 5, 4, 17, 3, , 
2025/4/8, 3, 14, 24, 4, , 1
2025/4/9, 24, 17, 24, 8, , 1
2025/4/10, 29, 16, 17, 5, , 
2025/4/11, 15, 18, 27, 4, , 1
2025/4/12, 22, 24, 31, 5, , 1
2025/4/13, 41, 15, 18, 4, , 
2025/4/14, 15, 12, 18, 1, , 
2025/4/15, 7, 13, 18, 3, , 1
2025/4/16, 9, 12, 28, 5, , 1
2025/4/17, 17, 20, 28, 3, , 1
2025/4/18, 43, 20, 24, 4, , 1
2025/4/19, 38, 20, 18, 6, , 2
2025/4/20, 41, 9, 20, 4, , 1
