# Sensor Henders Road, Broomfield, Australia (uRad Monitor/82000079)
# https://aqicn.org/station/@110542/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-03-26T00:00:00.000Z,3,5,4,4,4,0.179,906
2020-03-27T00:00:00.000Z,3,5,4,4,4,0.201,1424
2020-03-28T00:00:00.000Z,3,5,4,4,4,0.276,1438
2020-03-29T00:00:00.000Z,3,5,4,4,4,0.206,1361
2020-03-30T00:00:00.000Z,3,5,4,4,4,0.205,1363
2020-03-31T00:00:00.000Z,4,5,4,4,4,0.317,1297
2020-04-01T00:00:00.000Z,4,5,4,4,4,0.143,1392
2020-04-02T00:00:00.000Z,3,5,4,4,4,0.297,404
2020-04-03T00:00:00.000Z,4,17,4,4,4,2.211,250
2020-04-04T00:00:00.000Z,3,20,4,4,4,2.431,254
2020-04-05T00:00:00.000Z,3,5,4,4,4,0.155,246
2020-04-06T00:00:00.000Z,4,19,4,4,4,3.341,253
2020-04-07T00:00:00.000Z,3,6,4,4,4,0.418,252
2020-04-08T00:00:00.000Z,3,5,4,4,4,0.167,249
2020-04-09T00:00:00.000Z,3,7,4,4,4,0.368,248
2020-04-10T00:00:00.000Z,3,230,4,4,4,47.237,284
2020-04-11T00:00:00.000Z,3,30,4,4,4,4.74,261
2020-04-12T00:00:00.000Z,3,6,4,4,4,0.264,252
2020-04-13T00:00:00.000Z,3,4,4,4,4,0.089,248
2020-04-14T00:00:00.000Z,3,27,4,4,4,3.865,267
2020-04-15T00:00:00.000Z,4,4,4,4,4,0,242
2020-04-16T00:00:00.000Z,3,4,4,4,4,0.064,240
2020-04-17T00:00:00.000Z,3,9,4,4,4,0.685,250
2020-04-18T00:00:00.000Z,3,10,4,4,4,0.79,249
2020-04-19T00:00:00.000Z,4,6,4,4,4,0.269,246
2020-04-20T00:00:00.000Z,3,5,4,4,4,0.156,244
2020-04-21T00:00:00.000Z,4,4,4,4,4,0,242
2020-04-22T00:00:00.000Z,4,5,4,4,4,0.199,243
2020-04-23T00:00:00.000Z,3,5,4,4,4,0.227,247
2020-04-24T00:00:00.000Z,3,5,4,4,4,0.156,247
2020-04-25T00:00:00.000Z,4,5,4,4,4,0.292,245
2020-04-26T00:00:00.000Z,3,8,4,4,4,0.485,249
2020-04-27T00:00:00.000Z,4,6,4,4,4,0.338,241
2020-04-28T00:00:00.000Z,4,5,4,4,4,0.127,242
2020-04-29T00:00:00.000Z,3,9,4,4,4,0.843,248
2020-04-30T00:00:00.000Z,3,4,4,4,4,0.08,157
2020-05-01T00:00:00.000Z,4,4,4,4,4,0,242
2020-05-02T00:00:00.000Z,3,5,4,4,4,0.293,248
2020-05-03T00:00:00.000Z,4,15,4,4,4,1.764,248
2020-05-04T00:00:00.000Z,4,5,4,4,4,0.143,240
2020-05-05T00:00:00.000Z,4,5,4,4,4,0.142,242
2020-05-06T00:00:00.000Z,3,34,4,4,4,5.234,259
2020-05-07T00:00:00.000Z,4,5,4,4,4,0.137,260
2020-05-08T00:00:00.000Z,4,9,4,4,4,1.01,267
2020-05-09T00:00:00.000Z,3,8,4,4,4,0.551,267
2020-05-10T00:00:00.000Z,3,5,4,4,4,0.247,129
2020-05-11T00:00:00.000Z,3,5,4,4,4,0.199,174
2020-05-12T00:00:00.000Z,4,5,4,4,4,0.271,251
2020-05-13T00:00:00.000Z,4,5,4,4,4,0.281,266
2020-05-14T00:00:00.000Z,3,15,4,4,4,1.849,265
2020-05-15T00:00:00.000Z,3,11,4,4,4,0.845,264
2020-05-16T00:00:00.000Z,4,5,4,4,4,0.254,260
2020-05-17T00:00:00.000Z,3,4,4,4,4,0.163,256
2020-05-18T00:00:00.000Z,4,5,4,4,4,0.21,260
2020-05-19T00:00:00.000Z,4,23,4,4,4,3.801,271
2020-05-20T00:00:00.000Z,3,4,4,4,4,0.062,261
2020-05-21T00:00:00.000Z,4,5,4,4,4,0.202,257
2020-05-22T00:00:00.000Z,3,5,4,4,4,0.199,278
2020-05-23T00:00:00.000Z,3,28,4,4,4,2.918,1016
2020-05-24T00:00:00.000Z,3,7,4,4,4,0.349,1364
2020-05-25T00:00:00.000Z,4,7,4,4,4,0.403,1199
2020-05-26T00:00:00.000Z,3,5,4,4,4,0.21,1350
2020-05-27T00:00:00.000Z,4,12,4,4,4,0.97,1347
2020-05-28T00:00:00.000Z,3,5,4,4,4,0.148,1343
2020-05-29T00:00:00.000Z,4,10,4,4,4,0.741,1352
2020-05-30T00:00:00.000Z,4,39,4,4,4,6.793,1352
2020-05-31T00:00:00.000Z,3,14,4,4,4,1.288,1366
2020-06-01T00:00:00.000Z,3,5,4,4,4,0.208,1234
2020-06-02T00:00:00.000Z,3,5,4,4,4,0.249,1355
2020-06-03T00:00:00.000Z,4,37,4,4,4,5.763,1215
2020-06-04T00:00:00.000Z,4,5,4,4,4,0.354,1229
2020-06-05T00:00:00.000Z,4,8,4,4,5,0.683,1357
2020-06-06T00:00:00.000Z,4,8,4,4,5,0.622,1339
2020-06-07T00:00:00.000Z,4,5,4,4,5,0.437,1369
2020-06-08T00:00:00.000Z,4,5,4,4,5,0.476,1364
2020-06-09T00:00:00.000Z,4,5,4,4,5,0.476,1356
2020-06-10T00:00:00.000Z,4,5,4,4,5,0.483,1063
2020-06-11T00:00:00.000Z,4,13,4,4,5,1.335,1355
2020-06-12T00:00:00.000Z,4,5,5,4,5,0.5,1150
2020-06-13T00:00:00.000Z,4,9,4,4,5,0.829,1321
2020-06-14T00:00:00.000Z,4,6,4,4,5,0.5,1340
2020-06-15T00:00:00.000Z,4,87,4,4,5,15.611,1338
2020-06-16T00:00:00.000Z,4,64,4,4,4,10.95,1345
2020-06-17T00:00:00.000Z,3,5,4,4,4,0.407,1359
2020-06-18T00:00:00.000Z,4,12,4,4,4,1.044,1354
2020-06-19T00:00:00.000Z,4,5,4,4,5,0.483,1359
2020-06-20T00:00:00.000Z,4,5,4,4,4,0.2,1370
2020-06-21T00:00:00.000Z,3,48,4,4,8,10.009,1347
2020-06-22T00:00:00.000Z,3,11,4,4,4,0.596,1362
2020-06-23T00:00:00.000Z,3,32,4,4,4,6.065,1326
2020-06-24T00:00:00.000Z,3,4,4,4,4,0.047,1353
2020-06-25T00:00:00.000Z,3,33,4,4,4,4.083,1221
2020-06-26T00:00:00.000Z,3,15,4,4,4,1.388,1351
2020-06-27T00:00:00.000Z,3,20,4,4,4,2.533,1310
2020-06-28T00:00:00.000Z,3,7,4,4,4,0.493,1333
2020-06-29T00:00:00.000Z,3,229,4,4,4,30.112,1281
2020-06-30T00:00:00.000Z,3,20,4,4,4,2.988,1268
2020-07-01T00:00:00.000Z,3,34,4,4,4,6.072,854
2020-07-02T00:00:00.000Z,4,5,4,4,4,0.293,1158
2020-07-03T00:00:00.000Z,3,5,4,4,4,0.155,1309
2020-07-04T00:00:00.000Z,3,35,4,4,4,4.756,1313
2020-07-05T00:00:00.000Z,3,23,4,4,4,2.859,1251
2020-07-06T00:00:00.000Z,3,58,4,4,4,12.042,808
2020-07-07T00:00:00.000Z,4,4,4,4,4,0,1223
2020-07-08T00:00:00.000Z,4,5,4,4,4,0.241,1261
2020-07-09T00:00:00.000Z,3,5,4,4,4,0.211,1252
2020-07-10T00:00:00.000Z,3,5,4,4,4,0.207,1327
2020-07-11T00:00:00.000Z,3,4,4,4,4,0.028,1280
2020-07-12T00:00:00.000Z,3,147,4,4,6,18.84,1287
