date, pm25, pm10, o3, no2, so2, co
2025/8/1, 13, 2, , , , 1
2025/8/2, 9, 3, , , , 1
2025/8/3, 9, 3, , , , 1
2025/8/4, 9, 2, , , , 
2025/8/5, 5, 2, , , , 1
2025/8/6, 5, 5, , , , 1
2025/8/7, 16, , , , 1, 1
2025/8/9, 11, 2, , , , 1
2025/8/10, 5, 2, , , , 1
2025/8/11, 4, , , , , 1
2025/8/13, 21, 18, , , , 2
2025/8/14, 23, 12, , , , 1
2025/8/15, 24, 9, , , , 1
2025/8/16, 14, 9, , , , 1
2025/8/17, 17, 12, , , , 
2025/8/18, 26, 10, , , , 1
2025/8/19, 13, , , , , 
2025/7/1, 10, 2, 19, 5, , 1
2025/7/2, 7, 5, 14, 7, , 1
2025/7/3, 20, 7, 8, 6, 3, 1
2025/7/4, 27, 6, 13, 4, , 1
2025/7/5, 24, 6, 2, 3, , 2
2025/7/6, 22, 17, 12, 7, , 2
2025/7/7, 60, 8, 24, 4, , 2
2025/7/8, 31, 2, 22, 3, , 
2025/7/9, 11, 2, 18, 4, , 
2025/7/10, 6, 2, 18, 3, 1, 1
2025/7/11, 7, 4, 19, 4, , 1
2025/7/12, 11, 4, 20, 4, , 1
2025/7/13, 16, 2, 19, 4, , 
2025/7/14, 5, 2, 18, 4, , 
2025/7/15, 6, 2, 18, 2, , 1
2025/7/16, 7, 3, 19, , , 1
2025/7/17, 12, 5, , , , 1
2025/7/18, 19, 4, , , , 1
2025/7/19, 14, 5, , , 2, 1
2025/7/20, 17, 4, , , , 1
2025/7/21, 14, 2, , , , 1
2025/7/22, 6, 2, , , , 
2025/7/23, 4, 3, , , , 
2025/7/24, 10, 5, , , , 2
2025/7/25, 20, 2, , , , 1
2025/7/26, 9, 5, , , , 1
2025/7/27, 20, 1, , , , 1
2025/7/28, 5, 3, , , , 1
2025/7/29, 14, 6, , , , 2
2025/7/30, 23, 4, , , , 1
2025/7/31, 17, 3, , , , 1
2025/4/1, 4, 18, 17, 3, , 
2025/4/2, 12, 23, 20, 4, , 
2025/4/3, 34, 12, 20, 4, , 
2025/4/4, 5, 16, 20, 2, , 
2025/4/5, 11, 15, 20, 3, , 1
2025/4/6, 11, 14, 18, 1, , 
2025/4/7, 7, 9, 17, 3, , 
2025/4/8, 8, 15, 24, 4, , 1
2025/4/9, 24, 19, 24, 8, , 1
2025/4/10, 34, 28, 17, 5, , 
2025/4/11, 31, 26, 27, 4, , 1
2025/4/12, 24, 34, 31, 5, , 1
2025/4/13, 60, 22, 18, 4, , 
2025/4/14, 25, 16, 18, 1, , 
2025/4/15, 8, 22, 18, 3, , 1
2025/4/16, 14, 16, 28, 5, , 1
2025/4/17, 16, 29, 28, 3, , 1
2025/4/18, 46, 30, 24, 4, , 1
2025/4/19, 46, 33, 18, 6, , 2
2025/4/20, 49, 19, 20, 4, , 1
2025/4/21, 18, 11, 17, 3, , 
2025/4/22, 5, 13, 16, 1, , 
2025/4/23, 6, 13, 12, 6, 1, 1
2025/4/24, 13, 20, 22, 4, , 1
2025/4/25, 25, 9, 18, 4, , 1
2025/4/26, 6, 1, 16, 2, , 1
2025/4/27, 1, , 13, 5, , 1
2025/4/30, 1, 1, 18, 5, , 1
2025/5/1, 1, 1, 16, 9, , 1
2025/5/2, 1, 1, 23, 7, 1, 1
2025/5/3, 3, 1, 16, 8, , 2
2025/5/4, 3, 1, 19, 7, , 2
2025/5/5, 1, 1, 21, 5, 1, 
2025/5/6, 1, , 22, 2, , 
2025/5/8, 1, 1, 10, 8, , 1
2025/5/9, 1, , , , , 
2025/5/16, 19, 5, 22, 5, , 
2025/5/17, 16, 5, 20, 5, , 
2025/5/18, 17, 5, 18, 8, , 1
2025/5/19, 20, 5, 14, 9, , 1
2025/5/20, 16, 10, 17, 9, , 2
2025/5/21, 36, 6, 12, 8, , 2
2025/5/22, 24, 5, 12, 6, , 1
2025/5/23, 18, 4, 21, 5, , 
2025/5/24, 16, 2, 21, 3, , 
2025/5/25, 4, 4, 19, 4, , 
2025/5/26, 7, 5, 24, 4, , 
2025/5/27, 5, 2, 19, 3, , 
2025/5/28, 5, 1, 12, 6, , 
2025/5/29, 4, , , , , 
2025/5/31, 54, 11, 9, 8, , 2
2025/6/1, 41, 11, 14, 9, , 2
2025/6/2, 40, 4, 20, 7, , 1
2025/6/3, 16, 6, 17, 9, , 1
2025/6/4, 26, 7, 12, 9, , 2
2025/6/5, 26, 7, 15, 10, , 2
