date, pm25, pm10, o3, no2, so2, co
2025/8/1, 18, 9, , , , 1
2025/8/2, 18, 10, , , , 2
2025/8/3, 20, 13, , , , 2
2025/8/4, 26, 12, , , , 1
2025/8/5, 17, 14, , , , 1
2025/8/6, 14, 17, , , , 2
2025/8/7, 21, 15, , , , 2
2025/8/8, 26, 11, , , , 1
2025/8/9, 19, 8, , , , 1
2025/8/10, 11, 10, , , , 1
2025/8/11, 17, 13, , , , 1
2025/8/12, 21, 12, , , , 
2025/8/13, 16, 18, , , , 2
2025/8/14, 30, 16, , , , 3
2025/8/15, 32, 8, , , , 
2025/8/16, 11, 10, , , , 1
2025/8/17, 19, 9, , , , 1
2025/8/18, 16, 20, , , , 2
2025/8/19, 32, , , , , 
2025/7/1, 10, 4, 19, 5, , 1
2025/7/2, 6, 15, 14, 7, , 2
2025/7/3, 25, 12, 8, 6, 1, 2
2025/7/4, 26, 14, 13, 4, , 2
2025/7/5, 30, 21, 13, 5, , 4
2025/7/6, 44, 23, 12, 7, , 3
2025/7/7, 53, 16, 24, 4, 7, 2
2025/7/8, 36, 8, 22, 3, 2, 1
2025/7/9, 11, 9, 18, 4, , 1
2025/7/10, 10, 14, 18, 3, , 1
2025/7/11, 10, 27, 19, 4, , 1
2025/7/12, 24, 21, 20, 4, 2, 2
2025/7/13, 30, 14, 19, 4, , 1
2025/7/14, 11, 5, 18, 4, , 1
2025/7/15, 8, 9, 18, 2, , 2
2025/7/16, 17, 13, 19, , , 2
2025/7/17, 29, 20, , , , 3
2025/7/18, 34, 14, , , , 2
2025/7/19, 30, 20, , , 2, 1
2025/7/20, 24, 20, , , , 3
2025/7/21, 38, 11, , , , 2
2025/7/22, 20, 10, , , , 
2025/7/23, 7, 10, , , , 2
2025/7/24, 15, 18, , , , 3
2025/7/25, 36, 9, , , , 2
2025/7/26, 17, 11, , , , 2
2025/7/27, 24, 7, , , , 1
2025/7/28, 12, 13, , , , 
2025/7/29, 22, 14, , , , 1
2025/7/30, 28, 25, , , , 3
2025/7/31, 38, 12, , , , 2
2025/4/1, 5, 21, 17, 3, , 1
2025/4/2, 12, 21, 20, 4, , 
2025/4/3, 18, 13, 20, 4, , 2
2025/4/4, 6, 16, 20, 2, , 1
2025/4/5, 10, 15, 20, 3, , 1
2025/4/6, 8, 13, 18, 1, , 
2025/4/7, 7, 10, 17, 3, , 
2025/4/8, 5, 19, 24, 4, , 1
2025/4/9, 26, 32, 24, 8, , 1
2025/4/10, 40, 30, 17, 5, 2, 1
2025/4/11, 22, 29, 27, 4, 1, 1
2025/4/12, 27, 38, 31, 5, 2, 2
2025/4/13, 47, 27, 18, 4, , 1
2025/4/14, 18, 19, 18, 1, , 
2025/4/15, 7, 20, 18, 3, , 
2025/4/16, 14, 20, 28, 5, , 1
2025/4/17, 20, 31, 28, 3, , 1
2025/4/18, 53, 35, 24, 4, , 2
2025/4/19, 49, 50, 18, 6, , 2
2025/4/20, 78, 22, 20, 4, , 1
2025/4/21, 16, 12, 17, 3, , 
2025/4/22, 6, 12, 16, 1, , 1
2025/4/23, 7, 16, 12, 6, , 2
2025/4/24, 18, 26, 22, 4, , 1
2025/4/25, 29, 11, 18, 4, , 1
2025/4/26, 17, 10, 16, 2, , 
2025/4/27, 8, 16, 13, 5, , 1
2025/4/28, 19, 12, 19, 4, , 
2025/4/29, 8, 13, 18, 6, , 1
2025/4/30, 10, 13, 18, 5, , 1
2025/5/1, 14, 16, 16, 9, , 2
2025/5/2, 26, 26, 23, 7, 1, 2
2025/5/3, 55, 35, 16, 8, , 4
2025/5/4, 73, 30, 19, 7, 1, 2
2025/5/5, 52, 20, 21, 5, 1, 
2025/5/6, 15, 14, 19, 2, , 
2025/5/7, 7, 16, 18, 5, , 1
2025/5/8, 12, 18, 19, 6, , 
2025/5/9, 17, , , , , 
2025/5/12, 28, 27, 20, 7, , 2
2025/5/13, 36, 25, 22, 7, , 2
2025/5/14, 37, 12, 17, 5, , 1
2025/5/15, 17, 14, 18, 7, , 1
2025/5/16, 23, 15, 22, 5, , 1
2025/5/17, 18, 18, 20, 5, , 1
2025/5/18, 25, 24, 18, 8, , 2
2025/5/19, 30, 19, 14, 9, , 3
2025/5/20, 29, 32, 17, 9, , 4
2025/5/21, 57, 16, 12, 8, , 2
