date, pm25, pm10, o3, no2, so2, co
2025/8/1, 17, 9, , , , 1
2025/8/2, 20, 10, , , , 1
2025/8/3, 21, 13, , , , 1
2025/8/4, 60, 12, , , , 
2025/8/5, 12, 14, , , , 1
2025/8/6, 15, 17, , , , 1
2025/8/7, 18, 15, , , 1, 1
2025/8/8, 23, 11, , , 1, 1
2025/8/9, 14, 8, , , , 1
2025/8/10, 16, 10, , , , 1
2025/8/11, 17, 13, , , , 1
2025/8/12, 31, 12, , , , 1
2025/8/13, 22, 18, , , , 2
2025/8/14, 29, 16, , , , 1
2025/8/15, 32, 8, , , , 1
2025/8/16, 15, 10, , , , 1
2025/8/17, 14, 9, , , , 
2025/8/18, 12, 21, , , , 1
2025/8/19, 17, , , , , 
2025/7/1, 16, 4, 19, 5, , 1
2025/7/2, 8, 15, 14, 7, , 1
2025/7/3, 22, 12, 8, 6, 3, 1
2025/7/4, 62, 14, 13, 4, , 1
2025/7/5, 50, 21, 13, 5, 1, 2
2025/7/6, 29, 23, 12, 7, , 2
2025/7/7, 57, 16, 24, 4, , 2
2025/7/8, 55, 8, 22, 3, , 
2025/7/9, 11, 9, 18, 4, , 
2025/7/10, 14, 14, 18, 3, 1, 1
2025/7/11, 19, 27, 19, 4, , 1
2025/7/12, 31, 21, 20, 4, , 1
2025/7/13, 27, 14, 19, 4, , 
2025/7/14, 19, 5, 18, 4, , 
2025/7/15, 9, 9, 18, 2, , 1
2025/7/16, 12, 13, 19, , , 1
2025/7/17, 21, 20, , , , 1
2025/7/18, 40, 14, , , , 1
2025/7/19, 44, 20, , , 2, 1
2025/7/20, 25, 20, , , , 1
2025/7/21, 38, 11, , , , 1
2025/7/22, 18, 10, , , , 
2025/7/23, 12, 10, , , , 
2025/7/24, 16, 18, , , , 2
2025/7/25, 34, 9, , , , 1
2025/7/26, 16, 11, , , , 1
2025/7/27, 25, 7, , , , 1
2025/7/28, 15, 13, , , , 1
2025/7/29, 19, 14, , , , 2
2025/7/30, 25, 25, , , , 1
2025/7/31, 24, 12, , , , 1
2025/4/1, 14, 21, 17, 3, , 
2025/4/2, 25, 21, 20, 4, , 
2025/4/3, 27, 13, 20, 4, , 
2025/4/4, 13, 16, 20, 2, , 
2025/4/5, 17, 15, 20, 3, , 1
2025/4/6, 17, 13, 18, 1, , 
2025/4/7, 16, 10, 17, 3, , 
2025/4/8, 12, 19, 24, 4, , 1
2025/4/9, 35, 32, 24, 8, , 1
2025/4/10, 54, 30, 17, 5, , 
2025/4/11, 33, 29, 27, 4, , 1
2025/4/12, 39, 38, 31, 5, , 1
2025/4/13, 51, 27, 18, 4, , 
2025/4/14, 29, 19, 18, 1, , 
2025/4/15, 21, 20, 18, 3, , 1
2025/4/16, 28, 20, 28, 5, , 1
2025/4/17, 31, 31, 28, 3, , 1
2025/4/18, 58, 35, 24, 4, , 1
2025/4/19, 57, 50, 18, 6, , 2
2025/4/20, 66, 22, 20, 4, , 1
2025/4/21, 27, 12, 17, 3, , 
2025/4/22, 18, 12, 16, 1, , 
2025/4/23, 18, 16, 12, 6, 1, 1
2025/4/24, 28, 26, 22, 4, , 1
2025/4/25, 35, 11, 18, 4, , 1
2025/4/26, 22, 10, 16, 2, , 1
2025/4/27, 15, 16, 13, 5, , 1
2025/4/28, 24, 12, 19, 4, , 1
2025/4/29, 19, 13, 18, 6, , 1
2025/4/30, 17, 13, 18, 5, , 1
2025/5/1, 16, 16, 16, 9, , 1
2025/5/2, 32, 26, 23, 7, 1, 1
2025/5/3, 69, 35, 16, 8, , 2
2025/5/4, 63, 30, 19, 7, , 2
2025/5/5, 46, 20, 21, 5, 1, 
2025/5/6, 14, 14, 22, 2, , 
2025/5/7, 15, 16, 18, 5, , 1
2025/5/8, 21, 18, 19, 6, , 1
2025/5/9, 25, , , , , 
2025/5/12, 34, 27, 19, 7, , 1
2025/5/13, 51, 25, 22, 7, , 1
2025/5/14, 60, 12, 17, 5, , 1
2025/5/15, 36, 14, 18, 7, , 1
2025/5/16, 36, 15, 22, 5, , 
2025/5/17, 23, 18, 20, 5, , 
2025/5/18, 16, 24, 18, 8, , 1
2025/5/19, 20, 19, 14, 9, , 1
2025/5/20, 37, 32, 17, 9, , 2
2025/5/21, 59, 16, 12, 8, , 2
2025/5/22, 32, 10, 12, 6, , 1
2025/5/23, 31, 11, 21, 5, , 
2025/5/24, 24, 14, 21, 3, , 
2025/5/25, 13, 25, 19, 4, , 
2025/5/26, 18, 41, 24, 4, , 
2025/5/27, 19, 11, 19, 3, , 
2025/5/28, 15, 7, 12, 6, , 
2025/5/29, 13, , , , , 
2025/5/31, 28, 16, 9, 8, , 2
2025/6/1, 70, 25, 14, 9, , 2
2025/6/2, 42, 20, 20, 7, , 1
2025/6/3, 27, 15, 17, 9, , 1
2025/6/4, 20, 18, 12, 9, , 2
2025/6/5, 30, 24, 15, 10, , 2
2025/6/6, 42, 9, 19, 4, , 1
2025/6/7, 12, 9, 18, 4, , 1
2025/6/8, 30, 13, 19, 3, , 1
2025/6/9, 26, 11, 13, 7, , 1
2025/6/10, 32, 9, 13, 7, , 1
2025/6/11, 65, 10, 9, 8, , 1
2025/6/12, 63, 15, 15, 7, , 2
2025/6/13, 74, 14, 8, 6, , 2
2025/6/14, 76, 22, 16, 4, , 2
2025/6/15, 37, 20, 19, 7, , 2
2025/6/16, 40, 9, 22, 3, , 
2025/6/17, 10, 9, 18, 5, , 1
2025/6/18, 13, 13, 13, 8, , 1
2025/6/19, 21, 21, 10, 8, , 2
2025/6/20, 33, 17, 11, 6, , 1
2025/6/21, 77, 22, 9, 4, 1, 2
2025/6/22, 71, 17, 19, 5, , 1
2025/6/23, 39, 17, 22, 2, , 
2025/6/24, 10, 7, 22, 3, 1, 1
2025/6/25, 9, 11, 15, 7, , 1
2025/6/26, 24, 13, 13, 7, , 1
2025/6/27, 29, 16, 15, 4, 2, 1
2025/6/28, 43, 19, 15, 6, , 1
2025/6/29, 38, 13, 16, 5, , 1
2025/6/30, 26, 7, 18, 4, , 1
2025/1/1, 18, 18, 16, 1, , 
2025/1/2, 20, 20, 21, 1, 1, 
2025/1/3, 21, 19, 36, 1, , 1
2025/1/4, 24, 23, 39, 2, , 
2025/1/5, 24, 21, 24, 2, , 
2025/1/6, 25, 22, 14, 3, 3, 
2025/1/7, 24, 21, 21, 1, 1, 
2025/1/8, 24, 25, 36, 2, , 
2025/1/9, 29, 21, 17, 3, 6, 
2025/1/10, 30, 17, 25, 2, 7, 
2025/1/11, 25, 13, 30, 4, , 1
2025/1/12, 23, 12, 34, 3, , 
2025/1/13, 30, 17, 28, 4, 5, 
2025/1/14, 49, 15, 21, 2, , 
2025/1/15, 31, 18, 16, 3, , 
2025/1/16, 19, 17, 22, 2, , 
2025/1/17, 21, 26, 20, 1, 2, 
2025/1/18, 27, 23, 22, 1, , 
2025/1/19, 26, 25, 28, 2, 8, 
2025/1/20, 29, 20, 35, 2, 3, 
2025/1/21, 23, 19, 18, 1, , 
2025/1/22, 22, 27, 17, 2, 2, 
2025/1/23, 26, 9, 19, 2, , 
2025/1/24, 13, 15, 20, 2, , 
2025/1/25, 20, 12, 18, 1, 2, 
2025/1/26, 20, 17, 33, 1, , 1
2025/1/27, 24, 19, 18, 1, , 
2025/1/28, 23, 22, 21, 2, 1, 
2025/1/29, 25, 15, 19, 2, , 
2025/1/30, 16, 14, 23, 2, 5, 
2025/1/31, 16, 16, 21, 1, , 1
2025/2/1, 23, 18, 50, 2, 2, 1
2025/2/2, 36, 24, 54, 5, , 1
2025/2/3, 40, 37, 51, 7, , 1
2025/2/4, 43, 28, 19, 2, 3, 
2025/2/5, 45, 18, 26, 1, 1, 
2025/2/6, 31, 28, 28, 3, , 
2025/2/7, 51, 26, 18, 1, , 
2025/2/8, 47, 12, 18, , 1, 
2025/2/9, 20, 11, 17, 1, , 
2025/2/10, 14, 12, 20, 2, 8, 1
2025/2/11, 17, 13, 26, 1, , 
2025/2/12, 19, 22, 45, 4, 2, 1
2025/2/13, 25, 23, 20, 2, , 
2025/2/14, 28, 9, 18, 1, , 
2025/2/15, 13, 10, 16, 1, , 
2025/2/16, 13, 14, 26, 3, , 
2025/2/17, 16, 16, 20, 2, , 
2025/2/18, 18, 10, 18, 1, , 
2025/2/19, 12, 17, 23, 3, , 
2025/2/20, 19, 19, 25, 3, 3, 
2025/2/21, 21, 19, 39, 2, 1, 1
2025/2/22, 23, 22, 30, 1, 1, 
2025/2/23, 25, 16, 17, 3, , 
2025/2/24, 22, 23, 23, 2, 1, 
2025/2/25, 28, 19, 46, 3, , 
2025/2/26, 30, 23, 33, 4, 3, 
2025/2/27, 31, 14, 23, 3, , 
2025/2/28, 20, 22, 27, 2, , 
2025/3/1, 28, 15, 17, 2, , 
2025/3/2, 20, 19, 23, 3, 4, 
2025/3/3, 24, 19, 21, 1, , 
2025/3/4, 29, 28, 45, 4, , 
2025/3/5, 36, 29, 25, 3, 4, 
2025/3/6, 40, 14, 20, 1, 1, 
2025/3/7, 17, 11, 24, 2, 3, 
2025/3/8, 18, 16, 37, 2, , 1
2025/3/9, 20, 24, 31, 4, , 1
2025/3/10, 20, 29, 22, 2, , 
2025/3/11, 39, 23, 32, 2, 5, 
2025/3/12, 39, 14, 28, 3, , 
2025/3/13, 22, 16, 29, 3, , 
2025/3/14, 22, 22, 43, 5, , 1
2025/3/15, 25, 12, 27, 2, , 
2025/3/16, 19, 12, 20, 3, , 
2025/3/17, 15, 18, 26, 5, 2, 1
2025/3/18, 21, 19, 34, 4, , 
2025/3/19, 26, 26, 28, 6, , 1
2025/3/20, 23, 18, 21, 2, , 
2025/3/21, 20, 18, 26, 2, , 
2025/3/22, 17, 18, 26, 3, 2, 
2025/3/23, 19, 22, 22, 3, , 
2025/3/24, 28, 21, 20, 4, 1, 
2025/3/25, 26, 19, 22, 4, , 
2025/3/26, 31, 14, 23, 3, , 
2025/3/27, 28, 22, 27, 3, 1, 1
2025/3/28, 53, 30, 27, 5, , 1
2025/3/29, 52, 24, 21, , , 
2025/3/30, 27, 18, 21, 1, , 
2025/3/31, 17, 12, 19, 2, 1, 
2024/10/1, 21, 24, 24, 3, 7, 1
2024/10/2, 25, 22, 23, 3, , 
2024/10/3, 30, 12, 24, 4, , 
2024/10/4, 23, 7, 22, 1, , 1
2024/10/5, 15, 13, 23, 1, , 
2024/10/6, 16, 13, 22, 1, , 
2024/10/7, 17, 12, 24, 3, , 
2024/10/8, 13, 14, 24, 2, , 
2024/10/9, 14, 21, 23, 4, , 
2024/10/10, 21, 20, 23, 3, , 1
2024/10/11, 22, 25, 24, 2, 3, 1
2024/10/12, 27, 21, 23, 2, 1, 
2024/10/13, 21, 19, 23, 4, 3, 1
2024/10/14, 25, 22, 22, , , 1
2024/10/15, 20, 19, 20, 2, 1, 1
2024/10/16, 21, 19, 25, 4, , 1
2024/10/17, 24, 12, 29, 5, , 1
2024/10/18, 18, 8, 27, , , 
2024/10/19, 10, 12, 21, , , 1
2024/10/20, 17, 9, 23, 1, , 1
2024/10/21, 14, 16, 31, 3, , 1
2024/10/22, 26, 24, 26, 2, , 1
2024/10/23, 26, 12, 22, 2, , 1
