date, pm25, pm10, o3, no2, so2, co
2025/8/1, 17, , 20, 5, 1, 1
2025/8/2, 26, , 14, 5, 1, 2
2025/8/3, 20, , 12, 8, , 3
2025/8/4, 41, , 22, 8, , 2
2025/8/5, 14, , 21, 8, 1, 2
2025/8/6, 26, , 18, 8, , 2
2025/8/7, 30, , 18, 7, , 2
2025/8/8, 25, , 19, 3, , 1
2025/8/9, 20, , 18, 3, , 1
2025/8/10, 24, , 17, 7, , 1
2025/8/11, 24, , 10, 8, , 2
2025/8/12, 31, , 21, 4, 1, 1
2025/8/13, 16, , 18, 8, , 2
2025/8/14, 29, , 19, 9, , 2
2025/8/15, 21, , 22, 4, 2, 1
2025/8/16, 24, , 20, 5, , 1
2025/8/17, 19, , 19, 6, 1, 1
2025/8/18, 13, , 21, 7, , 2
2025/8/19, 21, , , , , 
2025/7/1, 9, , 20, 5, , 1
2025/7/2, 7, , 15, 7, , 2
2025/7/3, 19, , 7, 9, , 3
2025/7/4, 23, , 9, 5, , 3
2025/7/5, 28, , 15, 5, , 4
2025/7/6, 29, , 10, 8, 3, 3
2025/7/7, 52, , 22, 6, , 2
2025/7/8, 31, , 20, 5, , 1
2025/7/9, 16, , 18, 5, 2, 1
2025/7/10, 9, , 21, 2, 2, 1
2025/7/11, 10, , 21, 6, , 1
2025/7/12, 24, , 22, 5, , 3
2025/7/13, 33, , 18, 6, 1, 1
2025/7/14, 13, , 19, 5, 1, 1
2025/7/15, 15, , 20, 6, , 3
2025/7/16, 21, , 1, 12, , 4
2025/7/17, 25, , 16, 9, , 3
2025/7/18, 30, , 20, 5, , 2
2025/7/19, 34, , 17, 9, , 2
2025/7/20, 27, , 10, 11, , 4
2025/7/21, 52, , 9, 11, , 3
2025/7/22, 24, , 22, 4, , 
2025/7/23, 12, , 21, 6, 2, 1
2025/7/24, 15, , 9, 9, , 3
2025/7/25, 37, , 12, 8, , 2
2025/7/26, 11, , 12, 6, , 2
2025/7/27, 23, , 20, 4, 3, 1
2025/7/28, 18, , 18, 7, , 1
2025/7/29, 14, , 17, 9, 1, 2
2025/7/30, 21, , 15, 9, , 2
2025/7/31, 30, , 18, 7, , 2
2025/4/1, 4, , 18, 5, 1, 1
2025/4/2, 7, , 15, 5, , 
2025/4/3, 12, , 20, 3, 1, 
2025/4/4, 6, , 18, 2, , 
2025/4/5, 6, , 18, 3, 1, 
2025/4/6, 8, , 17, 2, 3, 
2025/4/7, 6, , 17, 3, 1, 
2025/4/8, 6, , 19, 5, , 1
2025/4/9, 14, , 22, 7, 1, 1
2025/4/10, 56, , 19, 5, , 1
2025/4/11, 24, , 23, 3, , 1
2025/4/12, 31, , 28, 7, , 1
2025/4/13, 43, , 17, 3, , 1
2025/4/14, 18, , 15, 3, 1, 
2025/4/15, 6, , 15, 5, , 1
2025/4/16, 9, , 22, 6, , 1
2025/4/17, 19, , 25, 5, , 2
2025/4/18, 52, , 20, 6, 1, 1
2025/4/19, 42, , 17, 8, , 3
2025/4/20, 57, , 20, 3, , 1
2025/4/21, 13, , 16, 4, 1, 
2025/4/22, 5, , 15, 3, , 
2025/4/23, 5, , 8, 8, , 1
2025/4/24, 12, , 21, 5, , 1
2025/4/25, 24, , 16, 4, , 1
2025/4/26, 10, , 15, 2, , 1
2025/4/27, 7, , 12, 4, , 1
2025/4/28, 16, , 17, 5, , 1
2025/4/29, 10, , 15, 9, 1, 1
2025/4/30, 18, , 14, 8, 1, 1
2025/5/1, 21, , 15, 8, 1, 2
