date, pm25, pm10, o3, no2, so2, co
2025/8/1, 20, 10, , 9, 1, 
2025/8/2, 42, , , 16, , 
2025/8/3, 53, , , 8, , 
2025/8/4, 12, , , 7, , 
2025/8/5, 7, , , 9, , 
2025/8/6, 11, , , 16, , 
2025/8/7, 20, , , 12, , 
2025/8/8, 21, , , 13, 1, 
2025/8/9, 47, , , 15, , 
2025/8/10, 63, , , 18, , 
2025/8/11, 36, 5, , 14, , 
2025/8/12, 17, 7, , 13, 1, 
2025/8/13, 17, 8, , 16, , 
2025/8/14, 21, 4, , 8, , 
2025/8/15, 14, 4, , 7, , 
2025/8/16, 11, 4, , 5, , 
2025/8/17, 12, 6, , 7, , 
2025/8/18, 9, 10, , 18, 1, 
2025/8/19, 31, , , , , 
2025/7/1, 8, 7, , 6, , 
2025/7/2, 10, 11, , 10, , 
2025/7/3, 17, 14, , 14, , 
2025/7/4, 34, 8, , 11, , 
2025/7/5, 21, 12, , 14, 1, 
2025/7/6, 37, 18, , 18, , 
2025/7/7, 53, 7, , 5, , 
2025/7/8, 17, 8, , 7, , 
2025/7/9, 9, 6, , 9, , 
2025/7/10, 7, 11, , 10, , 
2025/7/11, 12, 13, , 11, , 
2025/7/12, 17, 7, , 2, , 
2025/7/13, 7, 10, , 10, , 
2025/7/14, 9, 6, , 12, , 
2025/7/15, 8, 5, , 10, , 
2025/7/16, 8, 8, , 10, , 
2025/7/17, 14, 13, , 16, , 
2025/7/18, 23, 9, , 6, , 
2025/7/19, 13, 12, , 13, 1, 
2025/7/20, 24, 9, , 11, , 
2025/7/21, 19, 5, , 5, , 
2025/7/22, 5, 7, , 11, , 
2025/7/23, 9, 7, , 14, , 
2025/7/24, 13, 5, , 11, , 
2025/7/25, 9, 2, , 2, , 
2025/7/26, 4, 3, , 6, , 
2025/7/27, 6, 7, , 6, , 
2025/7/28, 5, 10, , 12, , 
2025/7/29, 11, 8, , 9, , 
2025/7/30, 15, 13, , 8, , 
2025/7/31, 13, 14, , 10, , 
2025/4/1, 14, 20, , 10, , 
2025/4/2, 31, 26, , 9, , 
2025/4/3, 29, 13, , 7, , 
2025/4/4, 7, 15, , 4, , 
2025/4/5, 10, 15, , 9, , 
2025/4/6, 11, 14, , 3, , 
2025/4/7, 8, 9, , 6, , 
2025/4/8, 6, 15, , 12, , 
2025/4/9, 22, 22, , 15, , 
2025/4/10, 23, 16, , 5, , 
2025/4/11, 13, 23, , 14, , 
2025/4/12, 26, 22, , 8, , 
2025/4/13, 29, 13, , 2, , 
2025/4/14, 10, 19, , 11, , 
2025/4/15, 27, 29, , 16, , 
2025/4/16, 25, 33, , 20, , 
2025/4/17, 34, 28, , 10, , 
2025/4/18, 31, 26, , 5, , 
2025/4/19, 28, 19, , 5, , 
2025/4/20, 11, 22, , 3, 1, 
2025/4/21, 7, 8, , 1, , 
2025/4/22, 5, 12, , 6, , 
2025/4/23, 8, 20, , 10, , 
2025/4/24, 18, 20, , 8, , 
2025/4/25, 22, 9, , 5, , 
2025/4/26, 10, 5, , 1, , 
2025/4/27, 4, 7, , 8, , 
2025/4/28, 7, 7, , 1, , 
2025/4/29, 5, 9, , 4, , 
2025/4/30, 7, 17, , 5, 1, 
2025/5/1, 9, 14, , 15, , 
2025/5/2, 22, 17, , 16, , 
2025/5/3, 35, 16, , 8, , 
2025/5/4, 35, 12, , 6, , 
2025/5/5, 10, 16, , 7, , 
2025/5/6, 8, 18, , 6, , 
2025/5/7, 10, 21, , 8, , 
2025/5/8, 13, 21, , 17, , 
2025/5/9, 16, 32, , 24, , 
2025/5/11, 23, 34, , 17, , 
2025/5/12, 35, 36, , 22, , 
2025/5/13, 44, 28, , 15, , 
2025/5/14, 48, 19, , 15, 1, 
2025/5/15, 20, 17, , 14, , 
2025/5/16, 19, 9, , 2, 1, 
2025/5/17, 7, 7, , 1, , 
2025/5/18, 24, 12, , 11, 1, 
2025/5/19, 17, 17, , 17, , 
2025/5/20, 28, 25, , 20, , 
2025/5/21, 44, 20, , 14, 1, 
2025/5/22, 34, 23, , 13, , 
2025/5/23, 59, 7, , 6, , 
2025/5/24, 12, 10, , 4, 1, 
2025/5/25, 7, 27, , 4, , 
2025/5/26, 9, 15, , 6, , 
2025/5/27, 7, 8, , 2, , 
2025/5/28, 6, 10, , 8, , 
2025/6/3, 6, 9, , 3, , 
2025/6/4, 7, 15, , 16, , 
2025/6/5, 20, 12, , 6, , 
2025/6/6, 12, 7, , 4, 1, 
2025/6/7, 7, 4, , 2, , 
2025/6/8, 7, 8, , 1, , 
2025/6/9, 9, 8, , 11, , 
2025/6/10, 7, 10, , 15, , 
2025/6/11, 20, 19, , 18, 1, 
2025/6/12, 39, 22, , 23, , 
2025/6/13, 43, 17, , 13, , 
2025/6/14, 47, 5, , 5, , 
2025/6/15, 13, , , 5, , 
2025/6/16, 6, 11, , 8, 1, 
2025/6/17, 8, 9, , 14, , 
2025/6/18, 12, 9, , 13, , 
2025/6/19, 15, , , 17, , 
2025/6/20, 27, , , 11, , 
2025/6/21, 38, , , 8, , 
2025/6/22, 30, 6, , 5, , 
2025/6/23, 8, 22, , 5, , 
2025/6/24, 7, 7, , 6, , 
2025/6/25, 5, 14, , 11, , 
2025/6/26, 15, 15, , 16, , 
2025/6/27, 33, 10, , 15, , 
2025/6/28, 34, 7, , 7, , 
2025/6/29, 24, 7, , 8, , 
2025/6/30, 14, 7, , 6, 1, 
2025/1/1, 8, 16, , , , 
2025/1/2, 10, 17, , 2, , 
2025/1/3, 11, 17, , 5, , 
2025/1/4, 11, 15, , 5, , 
2025/1/5, 10, 14, , 3, , 
2025/1/6, 9, 14, , 1, , 
2025/1/7, 9, 14, , 6, , 
2025/1/8, 14, 14, , 7, , 
2025/1/9, 10, 23, , 6, , 
2025/1/10, 14, 14, , 6, , 
2025/1/11, 12, 11, , 4, , 
2025/1/12, 12, 10, , 2, , 
2025/1/13, 13, 9, , 1, , 
2025/1/14, 9, 17, , 6, , 
2025/1/15, 13, 16, , 2, 1, 
2025/1/16, 9, 17, , , , 
2025/1/17, 11, 19, , 2, , 
2025/1/18, 12, 14, , 5, , 
2025/1/19, 21, 25, , 13, , 
2025/1/20, 18, 31, , 7, , 
2025/1/21, 17, 15, , , , 
2025/1/22, 8, 17, , 1, 1, 
2025/1/23, 11, 9, , 2, , 
2025/1/24, 5, 14, , 2, 1, 
2025/1/25, 8, 15, , , , 
2025/1/26, 8, 18, , 4, , 
2025/1/27, 12, 15, , , , 
2025/1/28, 9, 16, , , , 
2025/1/29, 8, 9, , , , 
2025/1/30, 5, 8, , 3, , 
2025/1/31, 5, 14, , 2, , 
2025/2/1, 19, 26, , 5, , 
2025/2/2, 20, 22, , 10, , 
2025/2/3, 32, 23, , 11, , 
2025/2/4, 29, 24, , 1, , 
2025/2/5, 33, 18, , 7, 1, 
2025/2/6, 31, 25, , 4, , 
2025/2/7, 33, 24, , 1, , 
2025/2/8, 33, 8, , 1, 1, 
2025/2/9, 7, 9, , 2, 1, 
2025/2/10, 10, 7, , 3, , 
2025/2/11, 7, 19, , 7, , 
2025/2/12, 13, 23, , 6, , 
2025/2/13, 15, 19, , 4, , 
2025/2/14, 10, 10, , 2, , 
2025/2/15, 5, 9, , 1, , 
2025/2/16, 5, 10, , 1, , 
2025/2/17, 5, 14, , 4, , 
2025/2/18, 7, 7, , , , 
2025/2/19, 3, 13, , , 1, 
2025/2/20, 7, 18, , 7, 1, 
2025/2/21, 14, 26, , 13, , 
2025/2/22, 20, 20, , 1, , 
2025/2/23, 11, 12, , 3, , 
2025/2/24, 6, 15, , 1, 1, 
2025/2/25, 9, 19, , 7, , 
2025/2/26, 13, 14, , 1, , 
2025/2/27, 9, 12, , 4, , 
2025/2/28, 7, 19, , 3, , 
2025/3/1, 13, 13, , , , 
2025/3/2, 7, 15, , 1, , 
2025/3/3, 7, 24, , 7, , 
2025/3/4, 23, 30, , 9, , 
2025/3/5, 25, 28, , 1, 1, 
2025/3/6, 21, 22, , 6, 1, 
2025/3/7, 16, 12, , 6, , 
2025/3/8, 8, 17, , 8, , 
2025/3/9, 12, 13, , 3, , 
2025/3/12, 13, 10, , 3, , 
2025/3/13, 9, 14, , 8, , 
2025/3/14, 18, 21, , 18, , 
2025/3/15, 26, 12, , 3, , 
2025/3/16, 13, 13, , 4, , 
2025/3/17, 6, 11, , 7, , 
2025/3/18, 9, 23, , 15, 1, 
2025/3/19, 19, 20, , 12, , 
2025/3/20, 14, 10, , 2, , 
2025/3/21, 7, 12, , 7, , 
2025/3/22, 9, 9, , 5, , 
2025/3/23, 8, 11, , 2, 1, 
2025/3/24, 7, 12, , 3, , 
2025/3/25, 10, 9, , 1, , 
2025/3/26, 9, 9, , 1, , 
2025/3/27, 8, 18, , 12, , 
2025/3/28, 29, 25, , 5, , 
2025/3/29, 42, 17, , 1, , 
2025/3/30, 11, 16, , , , 
2025/3/31, 7, 10, , 2, 1, 
2024/10/1, 14, 27, , 4, , 
2024/10/2, 18, 21, , 15, , 
