# Sensor Waterloo Court, Hoppers Crossing, Australia (uRad Monitor/8200000c)
# https://aqicn.org/station/@110227/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-03-26T00:00:00.000Z,1,3,2,2,2,0.373,921
2020-03-27T00:00:00.000Z,1,3,2,2,2,0.439,1440
2020-03-28T00:00:00.000Z,1,3,2,2,2,0.337,1443
2020-03-29T00:00:00.000Z,1,4,2,2,3,0.483,1383
2020-03-30T00:00:00.000Z,1,3,2,2,2,0.377,1387
2020-03-31T00:00:00.000Z,1,3,2,2,3,0.542,1336
2020-04-01T00:00:00.000Z,1,3,2,2,2,0.477,1329
2020-04-02T00:00:00.000Z,1,3,2,2,2,0.368,473
2020-04-03T00:00:00.000Z,1,3,2,2,2,0.391,256
2020-04-04T00:00:00.000Z,1,3,2,2,2,0.395,259
2020-04-05T00:00:00.000Z,1,3,2,2,2,0.446,255
2020-04-06T00:00:00.000Z,1,3,2,2,2,0.483,264
2020-04-07T00:00:00.000Z,1,3,2,2,2,0.415,259
2020-04-08T00:00:00.000Z,1,3,2,2,2,0.464,264
2020-04-09T00:00:00.000Z,1,3,2,2,2,0.507,261
2020-04-10T00:00:00.000Z,1,3,2,2,2,0.397,251
2020-04-11T00:00:00.000Z,1,3,2,2,2,0.363,256
2020-04-12T00:00:00.000Z,1,3,2,2,2,0.455,279
2020-04-13T00:00:00.000Z,1,3,2,2,2,0.383,256
2020-04-14T00:00:00.000Z,1,3,2,2,2,0.412,253
2020-04-15T00:00:00.000Z,1,3,2,2,2,0.468,261
2020-04-16T00:00:00.000Z,1,3,2,2,2,0.441,254
2020-04-17T00:00:00.000Z,1,3,2,2,2,0.39,258
2020-04-18T00:00:00.000Z,1,3,2,2,2,0.394,167
2020-04-19T00:00:00.000Z,1,3,2,2,2,0.459,263
2020-04-20T00:00:00.000Z,1,3,2,2,2,0.373,257
2020-04-21T00:00:00.000Z,1,3,2,2,2,0.397,256
2020-04-22T00:00:00.000Z,1,3,2,2,2,0.361,256
2020-04-23T00:00:00.000Z,1,3,2,2,2,0.377,253
2020-04-24T00:00:00.000Z,1,3,2,2,2,0.433,258
2020-04-25T00:00:00.000Z,1,3,2,2,3,0.523,260
2020-04-26T00:00:00.000Z,1,3,2,2,2,0.494,261
2020-04-27T00:00:00.000Z,1,3,2,2,2,0.413,257
2020-04-28T00:00:00.000Z,1,3,2,2,2,0.369,251
2020-04-29T00:00:00.000Z,1,3,2,2,2,0.452,258
2020-04-30T00:00:00.000Z,1,3,2,2,2,0.446,265
2020-05-01T00:00:00.000Z,1,3,2,2,2,0.437,255
2020-05-02T00:00:00.000Z,1,3,2,2,3,0.491,258
2020-05-03T00:00:00.000Z,1,3,2,2,2,0.45,253
2020-05-04T00:00:00.000Z,1,3,2,2,2,0.462,254
2020-05-05T00:00:00.000Z,1,3,2,2,2,0.426,260
2020-05-06T00:00:00.000Z,1,3,2,2,2,0.409,253
2020-05-07T00:00:00.000Z,1,3,2,2,2,0.37,276
2020-05-08T00:00:00.000Z,1,3,2,2,2,0.389,286
2020-05-09T00:00:00.000Z,1,3,2,2,2,0.426,273
2020-05-10T00:00:00.000Z,2,3,2,2,2,0.41,131
2020-05-11T00:00:00.000Z,1,3,2,2,2,0.439,186
2020-05-12T00:00:00.000Z,1,3,2,2,3,0.471,264
2020-05-13T00:00:00.000Z,1,3,2,2,2,0.416,275
2020-05-14T00:00:00.000Z,1,3,2,2,2,0.418,268
2020-05-15T00:00:00.000Z,1,3,2,2,3,0.449,273
2020-05-16T00:00:00.000Z,1,3,2,2,2,0.476,272
2020-05-17T00:00:00.000Z,1,3,2,2,2,0.434,270
2020-05-18T00:00:00.000Z,1,3,2,2,2,0.411,273
2020-05-19T00:00:00.000Z,1,3,2,2,2,0.36,274
2020-05-20T00:00:00.000Z,1,3,2,2,2,0.472,277
2020-05-21T00:00:00.000Z,1,3,2,2,2,0.435,265
2020-05-22T00:00:00.000Z,1,3,2,2,3,0.486,285
2020-05-23T00:00:00.000Z,1,3,2,2,2,0.373,1009
2020-05-24T00:00:00.000Z,1,3,2,2,2,0.366,1366
2020-05-25T00:00:00.000Z,1,3,2,2,3,0.54,1290
2020-05-26T00:00:00.000Z,1,3,2,2,2,0.354,1356
2020-05-27T00:00:00.000Z,1,3,2,2,2,0.406,1367
2020-05-28T00:00:00.000Z,1,3,2,2,3,0.5,1367
2020-05-29T00:00:00.000Z,1,3,2,2,3,0.439,1348
2020-05-30T00:00:00.000Z,1,3,2,2,2,0.423,1368
2020-05-31T00:00:00.000Z,1,3,2,2,2,0.303,1374
2020-06-01T00:00:00.000Z,1,3,2,2,3,0.442,1227
2020-06-02T00:00:00.000Z,1,3,2,2,3,0.438,1365
2020-06-03T00:00:00.000Z,1,3,2,2,2,0.435,1349
2020-06-04T00:00:00.000Z,1,3,2,2,3,0.449,1355
2020-06-05T00:00:00.000Z,1,3,2,2,3,0.477,1382
2020-06-06T00:00:00.000Z,1,3,2,2,2,0.426,1370
2020-06-07T00:00:00.000Z,1,3,2,2,3,0.457,1355
2020-06-08T00:00:00.000Z,1,3,2,2,3,0.502,1359
2020-06-09T00:00:00.000Z,1,3,2,2,3,0.456,1375
2020-06-10T00:00:00.000Z,1,3,2,2,3,0.453,1370
2020-06-11T00:00:00.000Z,1,3,2,2,2,0.321,1362
2020-06-12T00:00:00.000Z,1,3,2,2,3,0.458,1367
2020-06-13T00:00:00.000Z,1,3,2,2,2,0.42,1376
2020-06-14T00:00:00.000Z,1,3,2,2,2,0.437,1344
2020-06-15T00:00:00.000Z,0,3,2,2,2,0.439,1282
2020-06-16T00:00:00.000Z,1,3,2,2,2,0.419,1365
2020-06-17T00:00:00.000Z,1,3,2,2,2,0.42,1385
2020-06-18T00:00:00.000Z,1,3,2,2,2,0.421,1360
2020-06-19T00:00:00.000Z,1,3,2,2,2,0.376,1363
2020-06-20T00:00:00.000Z,1,3,2,2,2,0.387,1366
2020-06-21T00:00:00.000Z,1,3,2,2,3,0.514,1361
2020-06-22T00:00:00.000Z,1,3,2,2,3,0.439,1353
2020-06-23T00:00:00.000Z,1,3,2,2,2,0.433,1360
2020-06-24T00:00:00.000Z,1,3,2,2,2,0.343,1372
2020-06-25T00:00:00.000Z,1,3,2,2,2,0.394,1344
2020-06-26T00:00:00.000Z,1,3,2,2,2,0.433,1353
2020-06-27T00:00:00.000Z,1,3,2,2,3,0.465,1318
2020-06-28T00:00:00.000Z,1,3,2,2,2,0.411,1340
2020-06-29T00:00:00.000Z,1,3,2,2,3,0.446,1282
2020-06-30T00:00:00.000Z,1,3,2,2,3,0.483,1281
2020-07-01T00:00:00.000Z,1,3,2,2,2,0.442,1215
2020-07-02T00:00:00.000Z,2,3,2,2,3,0.48,1269
2020-07-03T00:00:00.000Z,1,3,2,2,3,0.503,1304
2020-07-04T00:00:00.000Z,1,3,2,2,2,0.429,1323
2020-07-05T00:00:00.000Z,1,3,2,2,2,0.464,1242
2020-07-06T00:00:00.000Z,1,3,2,2,3,0.467,820
2020-07-07T00:00:00.000Z,1,3,2,2,3,0.514,1242
2020-07-08T00:00:00.000Z,1,3,2,2,3,0.472,1275
2020-07-09T00:00:00.000Z,1,3,2,2,2,0.412,1261
2020-07-10T00:00:00.000Z,1,3,2,2,2,0.402,1336
2020-07-11T00:00:00.000Z,1,3,2,2,3,0.484,1297
2020-07-12T00:00:00.000Z,1,3,2,2,2,0.413,1327
2020-07-13T00:00:00.000Z,1,3,2,2,3,0.462,1307
2020-07-14T00:00:00.000Z,1,3,2,2,2,0.416,1300
2020-07-15T00:00:00.000Z,1,3,2,2,2,0.401,1298
2020-07-16T00:00:00.000Z,1,3,2,2,2,0.369,1298
2020-07-17T00:00:00.000Z,1,3,2,2,3,0.445,1308
2020-07-18T00:00:00.000Z,1,3,2,2,3,0.479,1298
2020-07-19T00:00:00.000Z,1,3,2,2,2,0.435,1317
2020-07-20T00:00:00.000Z,1,3,2,2,3,0.453,1301
2020-07-21T00:00:00.000Z,1,3,2,2,2,0.382,1254
2020-07-22T00:00:00.000Z,1,3,2,2,2,0.437,1252
2020-07-23T00:00:00.000Z,1,3,2,2,2,0.472,1262
2020-07-24T00:00:00.000Z,2,3,2,2,3,0.442,1272
2020-07-25T00:00:00.000Z,1,3,2,2,3,0.499,1300
2020-07-26T00:00:00.000Z,1,3,2,2,2,0.423,1225
2020-07-27T00:00:00.000Z,1,3,2,2,3,0.443,1249
2020-07-28T00:00:00.000Z,1,3,2,2,2,0.451,1198
2020-07-29T00:00:00.000Z,1,3,2,2,3,0.493,1189
2020-07-30T00:00:00.000Z,2,3,2,2,2,0.368,1173
2020-07-31T00:00:00.000Z,1,3,2,2,3,0.469,1178
2020-08-01T00:00:00.000Z,1,3,2,2,2,0.396,1170
2020-08-02T00:00:00.000Z,1,3,2,2,2,0.371,1124
