# Sensor Yarraville Village, Australia (Gaia realtime air quality monitoring network/590)
# https://aqicn.org/station/@490561/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2024-07-01T00:00:00.000Z,0,13.56,3.56,1.56,5.41,2.604,697
2024-07-02T00:00:00.000Z,0,39.26,8.77,6.33,14.1,7.788,951
2024-07-03T00:00:00.000Z,0,48.1,19.23,12.46,27.33,9.551,1251
2024-07-04T00:00:00.000Z,0,48.54,23.27,5.23,32.88,14.096,1256
2024-07-05T00:00:00.000Z,0,33.9,5.62,3.21,9,7.566,1259
2024-07-06T00:00:00.000Z,4.9,47.05,20.85,11.94,32.42,10.862,1277
2024-07-07T00:00:00.000Z,0,42.08,10.62,6.17,24.86,11.056,1228
2024-07-08T00:00:00.000Z,0,36.44,2.9,1.72,4.87,5.139,1055
2024-07-09T00:00:00.000Z,0,7.31,2.9,2,3.95,1.545,269
2024-07-10T00:00:00.000Z,0,36.97,2.41,0.55,8.53,8,345
2024-07-11T00:00:00.000Z,0,24.67,1,0.44,1.92,2.244,379
2024-07-12T00:00:00.000Z,0,52.05,2.36,1,8.33,12.658,795
2024-07-13T00:00:00.000Z,0,29.08,1,0,2.02,2.667,187
2024-07-14T00:00:00.000Z,0,11.21,0.12,0,1,1.867,61
2024-07-15T00:00:00.000Z,0,25.26,0,0,0.59,2.464,240
2024-07-16T00:00:00.000Z,0,20.64,0.56,0,1.12,2.009,480
2024-07-17T00:00:00.000Z,0,2.52,0.08,0,0.77,0.529,56
2024-07-18T00:00:00.000Z,0,19.73,2.94,1,5.82,4.215,186
2024-07-19T00:00:00.000Z,0,51.95,1.31,0.36,3.76,5.689,196
2024-07-20T00:00:00.000Z,0,4.79,0,0,0.38,0.639,206
2024-07-21T00:00:00.000Z,0,27.49,0.11,0,1.1,5.043,131
2024-07-22T00:00:00.000Z,0,14.77,0.54,0,1.33,2.409,190
2024-07-23T00:00:00.000Z,0,28.9,4.96,1.91,8.92,5.901,204
2024-07-24T00:00:00.000Z,0,29.74,1.12,0.16,3,3.751,291
2024-07-25T00:00:00.000Z,0,34.72,2.1,0.87,5.8,6.444,399
2024-07-26T00:00:00.000Z,0,101.35,2.67,1,6.86,7.978,361
2024-07-27T00:00:00.000Z,0,23.38,4.26,1,7.4,4.8,173
2024-07-28T00:00:00.000Z,0,7.28,0.49,0,1,1.043,220
2024-07-29T00:00:00.000Z,0,39.86,5.23,1.8,9.94,7.653,1125
2024-07-30T00:00:00.000Z,0,55.1,10.78,3.38,17.5,12.436,1204
2024-07-31T00:00:00.000Z,11.97,64.41,39.42,27.68,49.18,12.722,1264
2024-08-01T00:00:00.000Z,0,62,16.36,6.64,23.79,10.401,1271
2024-08-02T00:00:00.000Z,0,45.46,0,0,4.3,9.042,1268
2024-08-03T00:00:00.000Z,0,61.92,12.23,0,17.28,15.246,1242
2024-08-04T00:00:00.000Z,0,49.85,9.18,0.34,13.26,11.492,1260
2024-08-05T00:00:00.000Z,0,46.82,3.69,1.67,8.94,7.375,1239
2024-08-06T00:00:00.000Z,0,36.72,0,0,0,2.506,1274
2024-08-07T00:00:00.000Z,0,58.21,1,0,5.05,8.439,1273
2024-08-08T00:00:00.000Z,0,22.51,1,0,2.5,2.434,1272
2024-08-09T00:00:00.000Z,0,30,4.92,0,6.97,4.986,1259
2024-08-10T00:00:00.000Z,0,49.92,11.72,1.43,19.76,11.828,1269
2024-08-11T00:00:00.000Z,0,44.82,7.28,3.41,10.85,9.961,1265
2024-08-12T00:00:00.000Z,0,56.31,13,4.19,22.92,9.955,1200
2024-08-13T00:00:00.000Z,0,34.59,2.82,1.82,4.42,5.964,1248
2024-08-14T00:00:00.000Z,0,25.97,2,1,3.59,3.364,1248
2024-08-15T00:00:00.000Z,0,51.64,2,0,4.51,6.302,1254
2024-08-16T00:00:00.000Z,0,70.84,0,0,1,6.004,1239
2024-08-17T00:00:00.000Z,0,22.49,0,0,2,2.827,1268
2024-08-18T00:00:00.000Z,0,40.64,5.35,0,9.13,7.834,1256
2024-08-19T00:00:00.000Z,0,44.67,2.38,0,6.37,10.52,1232
2024-08-20T00:00:00.000Z,0,6.67,0,0,0,0.779,1261
2024-08-21T00:00:00.000Z,0,15.05,0,0,0,1.691,1259
2024-08-22T00:00:00.000Z,0,16.67,0,0,0,1.004,1268
2024-08-23T00:00:00.000Z,0,60.36,0,0,1,7.741,1262
2024-08-24T00:00:00.000Z,0,45.74,0,0,1.08,4.665,1243
2024-08-25T00:00:00.000Z,0,9.67,0,0,1,1.562,293
2024-08-26T00:00:00.000Z,0,0,0,0,0,0,1
2024-08-28T00:00:00.000Z,0,0,0,0,0,0,1
2024-09-01T00:00:00.000Z,0,2.91,0,0,0,0.147,724
2024-09-02T00:00:00.000Z,0,1.7,0,0,0,0.194,1188
2024-09-03T00:00:00.000Z,0,45.82,0,0,1,4.477,1182
2024-09-04T00:00:00.000Z,0,44.67,0,0,0.36,4.708,1209
2024-09-05T00:00:00.000Z,0,49.13,2.21,0.43,6.77,6.914,1181
2024-09-06T00:00:00.000Z,0,4.74,0,0,0,0.464,1166
2024-09-07T00:00:00.000Z,0,17.53,0,0,0,0.67,1074
2024-09-08T00:00:00.000Z,0,258.14,0,0,0,8.649,1165
2024-09-09T00:00:00.000Z,0,7.8,0,0,0,0.394,1175
2024-09-10T00:00:00.000Z,0,10.02,0,0,0,0.623,1098
2024-09-11T00:00:00.000Z,0,34.28,0,0,0.28,4.47,1166
2024-09-12T00:00:00.000Z,0,43.36,0,0,0,2.357,1174
2024-09-13T00:00:00.000Z,0,156.36,0,0,0,10.585,1140
2024-09-14T00:00:00.000Z,0,32.19,0,0,0,1.426,1196
2024-09-15T00:00:00.000Z,0,41,0,0,0,1.858,1177
2024-09-16T00:00:00.000Z,0,2.85,0,0,0,0.149,1172
2024-09-17T00:00:00.000Z,0,53.44,0,0,0,4.386,1181
2024-09-18T00:00:00.000Z,0,8.52,0,0,0,0.346,1160
2024-09-19T00:00:00.000Z,0,1,0,0,0,0.05,1125
2024-09-20T00:00:00.000Z,0,24,0,0,0,0.75,1185
2024-09-21T00:00:00.000Z,0,127.35,0,0,0,8.806,1195
2024-09-22T00:00:00.000Z,0,15.38,0,0,0,0.464,1227
2024-09-23T00:00:00.000Z,0,13.49,0,0,1.85,2.955,1202
2024-09-24T00:00:00.000Z,0,17.48,0.69,0,2.41,2.17,1210
2024-09-25T00:00:00.000Z,0,41.79,0,0,0.56,2.238,1210
2024-09-26T00:00:00.000Z,0,18.32,0,0,0,0.946,1274
2024-09-27T00:00:00.000Z,0,24.44,0,0,5.99,4.154,1256
2024-09-28T00:00:00.000Z,0,19.61,0,0,0,2.126,1275
2024-09-29T00:00:00.000Z,0,45.59,0.16,0,1.62,5.006,1274
2024-09-30T00:00:00.000Z,0,11.64,0,0,0.9,1.255,1274
2024-10-01T00:00:00.000Z,0,30.85,0,0,0.42,3.757,1280
2024-10-02T00:00:00.000Z,0,39.13,0.28,0,1.21,2.824,1251
2024-10-03T00:00:00.000Z,0,30.28,1.62,0,3.32,2.529,1272
2024-10-04T00:00:00.000Z,0,21.59,0,0,0.62,1.685,1279
2024-10-05T00:00:00.000Z,0,57.08,0,0,0,2.409,1269
2024-10-06T00:00:00.000Z,0,13.31,0,0,0,0.418,1277
2024-10-07T00:00:00.000Z,0,8.9,0,0,0,0.723,1272
2024-10-08T00:00:00.000Z,0,10.33,0,0,0,0.935,1280
2024-10-09T00:00:00.000Z,0,17.41,0,0,1,1.827,1271
2024-10-10T00:00:00.000Z,0,20.12,0,0,0,1.566,1237
2024-10-11T00:00:00.000Z,0,34.7,0,0,0,1.578,1275
2024-10-12T00:00:00.000Z,0,10.38,0,0,1,1.888,1214
2024-10-13T00:00:00.000Z,0,11.81,0,0,1,1.503,1261
2024-10-14T00:00:00.000Z,0,21.62,0,0,0.47,1.42,1028
2024-10-15T00:00:00.000Z,0,0,0,0,0,0,1307
2024-10-16T00:00:00.000Z,0,0,0,0,0,0,1146
2024-10-17T00:00:00.000Z,0,0,0,0,0,0,1127
2024-10-18T00:00:00.000Z,0,0,0,0,0,0,1353
2024-10-19T00:00:00.000Z,0,0,0,0,0,0,1295
2024-10-20T00:00:00.000Z,0,0,0,0,0,0,1087
2024-10-21T00:00:00.000Z,0,0,0,0,0,0,157
2024-10-22T00:00:00.000Z,0,0,0,0,0,0,866
2024-10-23T00:00:00.000Z,0,0,0,0,0,0,1339
2024-10-24T00:00:00.000Z,0,0,0,0,0,0,1425
2024-10-25T00:00:00.000Z,0,0,0,0,0,0,1312
2024-10-26T00:00:00.000Z,0,0,0,0,0,0,1221
2024-10-27T00:00:00.000Z,0,0,0,0,0,0,1225
2024-10-28T00:00:00.000Z,0,0,0,0,0,0,1273
2024-10-29T00:00:00.000Z,0,0,0,0,0,0,1302
2024-10-30T00:00:00.000Z,0,0,0,0,0,0,1308
2024-10-31T00:00:00.000Z,0,0,0,0,0,0,1408
2024-11-01T00:00:00.000Z,0,0,0,0,0,0,1328
2024-11-02T00:00:00.000Z,0,2.04,0,0,0,0.096,1120
2024-11-03T00:00:00.000Z,0,30.64,0,0,0,1.544,1256
2024-11-04T00:00:00.000Z,0,36.03,0,0,0,1.408,1266
2024-11-05T00:00:00.000Z,0,36.44,0,0,0.56,2.868,1275
2024-11-06T00:00:00.000Z,0,17.89,0,0,1,2.524,1265
2024-11-07T00:00:00.000Z,0,14.56,0,0,0,0.715,1262
2024-11-08T00:00:00.000Z,0,14.12,0,0,0,0.423,1278
2024-11-09T00:00:00.000Z,0,40.76,0,0,0,2.554,1280
2024-11-10T00:00:00.000Z,0,8.27,0,0,0,1.249,1280
2024-11-11T00:00:00.000Z,0,29,0,0,1.8,2.574,1277
2024-11-12T00:00:00.000Z,0,25.23,3.97,2.44,5.74,4.017,1252
2024-11-13T00:00:00.000Z,0,7.63,0,0,0,0.538,1250
2024-11-14T00:00:00.000Z,0,21.04,0,0,0,0.999,1279
2024-11-15T00:00:00.000Z,0,14,0,0,1.31,1.56,1279
2024-11-16T00:00:00.000Z,0,85.03,3.34,1,31.01,18.614,1264
2024-11-17T00:00:00.000Z,0,1,0,0,0,0.06,1275
2024-11-18T00:00:00.000Z,0,73.09,0,0,0,5.067,1275
2024-11-19T00:00:00.000Z,0,13,0,0,0,0.598,1257
2024-11-20T00:00:00.000Z,0,24.69,0,0,0,5.94,1276
2024-11-21T00:00:00.000Z,0,20.36,5.56,3.91,7.51,3.393,1233
2024-11-22T00:00:00.000Z,0,8.11,0.51,0,1.58,1.191,1099
2024-11-23T00:00:00.000Z,0,9.67,0,0,2,1.672,1278
2024-11-24T00:00:00.000Z,0,33.1,4.28,1,7.12,4.14,1277
2024-11-25T00:00:00.000Z,0,29.97,8.27,4.95,15.1,6.666,1267
2024-11-26T00:00:00.000Z,0,25.59,5.31,0,7.91,6.258,1268
2024-11-27T00:00:00.000Z,0,23.18,0,0,0,2.549,1278
2024-11-28T00:00:00.000Z,0,21.69,0,0,1,1.874,1277
2024-11-29T00:00:00.000Z,0,6.63,0,0,0,0.574,1285
2024-11-30T00:00:00.000Z,0,44,0,0,0,1.484,1281
2024-12-01T00:00:00.000Z,0,51.7,0,0,0,1.826,1276
